ID,Diet,How Often Shower,Heating Energy Source,Social Activity,Monthly Grocery Bill,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With
4615,omnivore,less frequently,coal,often,156,4,19,0,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
4616,pescatarian,more frequently,coal,often,235,21,50,4,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven']
4617,vegan,daily,natural gas,often,151,16,37,1,Yes,[],['Stove']
4618,pescatarian,more frequently,wood,often,223,18,50,11,Sometimes,['Plastic'],"['Oven', 'Microwave']"
4619,pescatarian,daily,natural gas,sometimes,262,21,28,8,Sometimes,['Plastic'],"['Grill', 'Airfryer']"
4620,vegan,more frequently,natural gas,sometimes,186,16,4,6,No,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']"
4621,pescatarian,twice a day,electricity,sometimes,135,21,23,10,Yes,"['Plastic', 'Glass', 'Metal']",[]
4622,vegetarian,twice a day,natural gas,never,220,11,22,1,Yes,['Plastic'],['Oven']
4623,pescatarian,less frequently,electricity,never,89,11,28,17,Sometimes,"['Paper', 'Plastic']",[]
4624,omnivore,twice a day,wood,often,117,18,1,24,No,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']"
4625,vegetarian,twice a day,wood,sometimes,139,11,13,22,No,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']"
4626,vegetarian,less frequently,wood,often,183,20,40,20,Sometimes,"['Plastic', 'Glass']",['Microwave']
4627,vegan,daily,natural gas,often,95,3,0,20,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave']"
4628,pescatarian,less frequently,coal,often,104,23,36,12,Sometimes,['Glass'],"['Stove', 'Oven', 'Grill', 'Airfryer']"
4629,vegan,less frequently,coal,often,245,1,36,17,Yes,['Plastic'],"['Stove', 'Oven', 'Microwave']"
4630,omnivore,daily,electricity,sometimes,64,11,28,24,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Microwave']
4631,pescatarian,daily,electricity,often,131,6,42,4,Sometimes,['Glass'],"['Grill', 'Airfryer']"
4632,pescatarian,less frequently,wood,never,143,1,14,8,No,[],"['Microwave', 'Grill', 'Airfryer']"
4633,vegan,daily,electricity,never,228,21,42,15,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']"
4634,omnivore,twice a day,electricity,never,200,5,23,19,Yes,['Metal'],['Oven']
4635,pescatarian,daily,wood,sometimes,138,24,16,20,Yes,['Glass'],"['Oven', 'Microwave']"
4636,vegetarian,daily,natural gas,sometimes,150,22,29,22,Yes,"['Plastic', 'Glass', 'Metal']",[]
4637,vegetarian,daily,coal,often,291,10,37,19,Yes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']"
4638,vegetarian,daily,natural gas,sometimes,124,6,33,24,Sometimes,[],"['Oven', 'Microwave']"
4639,pescatarian,less frequently,natural gas,often,220,6,21,6,Sometimes,[],"['Stove', 'Microwave']"
4640,omnivore,less frequently,natural gas,never,188,19,14,2,Yes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
4641,vegetarian,more frequently,electricity,often,99,17,48,8,Yes,['Metal'],"['Stove', 'Grill', 'Airfryer']"
4642,vegetarian,twice a day,electricity,often,187,21,36,0,No,"['Plastic', 'Metal']",[]
4643,vegetarian,daily,wood,sometimes,136,7,27,2,Yes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
4644,omnivore,less frequently,natural gas,often,128,0,19,6,No,"['Glass', 'Metal']",['Oven']
4645,vegan,daily,coal,often,237,11,14,21,Yes,"['Plastic', 'Metal']","['Stove', 'Microwave']"
4646,pescatarian,daily,electricity,sometimes,281,11,36,19,No,['Glass'],['Microwave']
4647,vegan,more frequently,natural gas,never,91,19,37,15,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven']"
4648,vegetarian,less frequently,natural gas,never,272,23,49,1,Yes,"['Paper', 'Plastic', 'Metal']",['Oven']
4649,pescatarian,more frequently,electricity,sometimes,136,9,16,19,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
4650,pescatarian,daily,electricity,often,251,24,41,20,Sometimes,"['Paper', 'Glass']","['Grill', 'Airfryer']"
4651,vegetarian,less frequently,electricity,often,177,7,29,3,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']"
4652,vegetarian,twice a day,coal,sometimes,142,11,19,11,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
4653,vegan,daily,electricity,sometimes,132,1,8,0,Sometimes,['Glass'],['Microwave']
4654,vegan,more frequently,natural gas,often,261,1,34,23,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
4655,pescatarian,less frequently,electricity,sometimes,206,13,50,24,Yes,"['Paper', 'Metal']","['Stove', 'Microwave']"
4656,pescatarian,less frequently,coal,never,279,1,31,11,Yes,"['Plastic', 'Metal']",['Oven']
4657,vegan,daily,coal,never,164,18,29,21,Sometimes,"['Paper', 'Glass']",['Oven']
4658,omnivore,twice a day,electricity,never,81,21,39,10,Sometimes,['Paper'],"['Stove', 'Grill', 'Airfryer']"
4659,pescatarian,more frequently,coal,never,257,5,14,5,No,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']"
4660,pescatarian,twice a day,wood,never,216,5,44,3,No,"['Paper', 'Metal']",[]
4661,vegan,twice a day,coal,sometimes,247,11,15,8,Yes,['Glass'],"['Stove', 'Oven']"
4662,omnivore,daily,coal,never,105,6,47,18,No,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']"
4663,pescatarian,twice a day,electricity,sometimes,262,22,22,8,Sometimes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
4664,vegan,daily,coal,never,82,17,32,17,No,"['Paper', 'Plastic']",['Microwave']
4665,vegetarian,more frequently,natural gas,sometimes,212,2,24,15,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']"
4666,omnivore,twice a day,coal,never,83,12,23,0,No,"['Plastic', 'Metal']",[]
4667,omnivore,less frequently,coal,never,75,16,39,4,Sometimes,['Metal'],"['Microwave', 'Grill', 'Airfryer']"
4668,omnivore,less frequently,electricity,sometimes,276,14,30,13,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']"
4669,omnivore,more frequently,coal,never,149,11,27,4,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
4670,omnivore,less frequently,coal,often,195,13,28,16,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove']
4671,vegan,less frequently,electricity,never,59,24,33,10,Sometimes,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']"
4672,pescatarian,daily,electricity,never,236,21,24,14,No,[],['Microwave']
4673,omnivore,more frequently,electricity,often,151,11,31,21,No,"['Plastic', 'Glass']",['Microwave']
4674,vegan,daily,electricity,sometimes,134,20,34,20,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']"
4675,vegan,more frequently,coal,never,289,14,43,19,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']"
4676,vegetarian,twice a day,wood,sometimes,254,19,18,22,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
4677,vegan,twice a day,wood,never,176,14,48,7,No,[],"['Stove', 'Oven', 'Grill', 'Airfryer']"
4678,vegetarian,less frequently,natural gas,sometimes,209,10,3,22,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
4679,pescatarian,more frequently,natural gas,never,79,23,13,10,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']"
4680,vegetarian,less frequently,wood,sometimes,220,10,16,3,Yes,"['Paper', 'Plastic', 'Glass']",['Microwave']
4681,vegetarian,twice a day,wood,never,156,6,12,10,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
4682,omnivore,daily,electricity,never,245,12,28,19,Yes,['Paper'],"['Grill', 'Airfryer']"
4683,vegetarian,less frequently,natural gas,sometimes,103,0,47,5,Yes,['Glass'],"['Stove', 'Oven', 'Grill', 'Airfryer']"
4684,vegetarian,more frequently,natural gas,sometimes,133,10,0,22,Yes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']"
4685,vegan,twice a day,coal,never,291,15,41,11,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']"
4686,omnivore,twice a day,coal,sometimes,278,24,49,7,No,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
4687,pescatarian,more frequently,natural gas,sometimes,197,4,16,7,Yes,"['Plastic', 'Metal']","['Stove', 'Microwave']"
4688,omnivore,daily,natural gas,often,125,16,18,22,Sometimes,[],['Stove']
4689,vegan,daily,electricity,often,196,1,45,9,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
4690,vegan,daily,electricity,often,128,0,33,24,No,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
4691,pescatarian,more frequently,electricity,never,212,3,30,15,Sometimes,[],['Microwave']
4692,pescatarian,daily,natural gas,never,272,12,4,20,Sometimes,['Metal'],['Oven']
4693,omnivore,less frequently,electricity,often,134,2,32,3,Yes,"['Glass', 'Metal']",['Oven']
4694,vegan,daily,wood,sometimes,206,23,9,17,Yes,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']"
4695,pescatarian,daily,coal,sometimes,271,0,14,6,No,['Plastic'],"['Oven', 'Microwave']"
4696,omnivore,less frequently,coal,never,197,13,33,7,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']"
4697,vegetarian,more frequently,wood,sometimes,56,8,30,17,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
4698,omnivore,twice a day,wood,sometimes,132,24,45,14,Yes,['Plastic'],"['Stove', 'Microwave']"
4699,vegan,twice a day,natural gas,often,286,8,3,20,Yes,['Metal'],"['Grill', 'Airfryer']"
4700,pescatarian,daily,coal,often,291,20,11,14,Sometimes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']"
4701,omnivore,twice a day,electricity,sometimes,137,5,49,15,Sometimes,['Paper'],"['Stove', 'Oven', 'Microwave']"
4702,vegetarian,twice a day,electricity,never,217,21,1,14,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']"
4703,vegan,less frequently,natural gas,often,244,12,1,8,Sometimes,['Metal'],['Stove']
4704,vegan,daily,coal,sometimes,191,18,28,6,Yes,[],[]
4705,pescatarian,twice a day,natural gas,never,70,7,31,4,No,[],[]
4706,vegan,more frequently,coal,sometimes,105,21,32,11,Yes,"['Paper', 'Glass']","['Stove', 'Oven']"
4707,pescatarian,less frequently,electricity,often,221,7,47,24,No,['Plastic'],"['Stove', 'Oven', 'Microwave']"
4708,omnivore,more frequently,natural gas,often,55,3,50,21,No,"['Paper', 'Metal']","['Stove', 'Oven']"
4709,omnivore,daily,natural gas,sometimes,210,16,11,7,Sometimes,['Metal'],[]
4710,vegan,twice a day,natural gas,often,107,21,22,9,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
4711,pescatarian,less frequently,natural gas,never,180,6,1,14,Yes,['Metal'],[]
4712,omnivore,twice a day,electricity,never,138,17,38,2,Sometimes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
4713,vegetarian,twice a day,natural gas,often,172,8,2,13,Sometimes,"['Plastic', 'Metal']","['Grill', 'Airfryer']"
4714,vegan,twice a day,coal,often,228,4,23,4,No,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
4715,pescatarian,less frequently,coal,never,241,24,27,1,Yes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']"
4716,pescatarian,daily,natural gas,never,147,24,2,22,No,['Metal'],"['Microwave', 'Grill', 'Airfryer']"
4717,vegan,less frequently,coal,sometimes,271,2,39,4,Sometimes,"['Paper', 'Plastic']","['Grill', 'Airfryer']"
4718,vegetarian,less frequently,wood,often,146,2,25,16,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']"
4719,omnivore,more frequently,coal,often,220,22,5,11,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']"
4720,omnivore,more frequently,wood,sometimes,268,15,43,11,Sometimes,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
4721,pescatarian,more frequently,coal,never,138,10,13,21,No,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
4722,vegan,more frequently,natural gas,often,254,5,32,7,Yes,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
4723,omnivore,daily,coal,often,53,12,49,0,Sometimes,[],"['Stove', 'Grill', 'Airfryer']"
4724,vegetarian,more frequently,wood,never,211,7,24,15,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
4725,vegetarian,more frequently,natural gas,never,215,15,11,1,Sometimes,['Plastic'],"['Oven', 'Grill', 'Airfryer']"
4726,pescatarian,less frequently,coal,sometimes,240,14,2,2,Yes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
4727,vegetarian,daily,wood,sometimes,69,6,41,23,Sometimes,"['Paper', 'Glass']","['Oven', 'Grill', 'Airfryer']"
4728,vegan,twice a day,electricity,sometimes,184,17,37,22,No,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']"
4729,vegan,twice a day,wood,sometimes,238,3,34,5,Yes,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
4730,vegetarian,twice a day,coal,never,63,5,49,20,Yes,"['Plastic', 'Glass', 'Metal']",['Stove']
4731,omnivore,less frequently,wood,sometimes,167,17,34,0,Sometimes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']"
4732,vegetarian,less frequently,coal,sometimes,173,1,20,4,No,['Plastic'],[]
4733,omnivore,less frequently,wood,sometimes,133,19,39,11,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
4734,vegetarian,less frequently,electricity,often,109,4,46,2,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']"
4735,pescatarian,more frequently,electricity,often,278,1,45,20,No,['Glass'],"['Oven', 'Microwave']"
4736,omnivore,daily,coal,often,139,5,35,5,No,['Paper'],['Stove']
4737,vegan,more frequently,coal,sometimes,193,22,37,24,No,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']"
4738,omnivore,daily,coal,never,240,23,8,18,Sometimes,[],"['Stove', 'Microwave']"
4739,vegan,twice a day,wood,never,264,8,40,6,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']"
4740,pescatarian,twice a day,natural gas,sometimes,224,7,3,6,No,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']"
4741,pescatarian,less frequently,wood,sometimes,91,17,19,23,Yes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']"
4742,vegan,less frequently,natural gas,sometimes,220,20,49,22,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven']"
4743,vegetarian,twice a day,electricity,sometimes,161,18,37,20,No,"['Paper', 'Glass']",['Stove']
4744,pescatarian,less frequently,natural gas,often,63,0,41,19,Yes,"['Glass', 'Metal']",['Microwave']
4745,vegetarian,daily,electricity,sometimes,287,1,18,18,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
4746,vegan,twice a day,wood,never,181,5,13,21,No,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']"
4747,pescatarian,daily,coal,often,147,20,3,11,Yes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
4748,omnivore,less frequently,wood,sometimes,129,3,28,22,No,"['Glass', 'Metal']","['Oven', 'Microwave']"
4749,pescatarian,less frequently,natural gas,never,92,12,33,21,Yes,['Glass'],"['Grill', 'Airfryer']"
4750,vegetarian,daily,electricity,often,294,21,3,24,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']"
4751,vegetarian,twice a day,natural gas,often,285,5,30,15,Yes,['Metal'],['Oven']
4752,omnivore,less frequently,natural gas,never,281,20,11,6,Sometimes,"['Paper', 'Glass']",['Stove']
4753,pescatarian,daily,wood,sometimes,215,23,21,22,Yes,"['Plastic', 'Metal']",[]
4754,vegetarian,twice a day,natural gas,never,195,23,49,5,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']"
4755,vegan,more frequently,electricity,often,51,22,14,24,Yes,[],['Oven']
4756,pescatarian,twice a day,wood,often,234,1,49,3,No,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
4757,pescatarian,daily,electricity,often,92,23,31,8,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']"
4758,omnivore,more frequently,natural gas,often,205,17,40,21,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
4759,vegan,less frequently,natural gas,never,169,17,13,10,Yes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']"
4760,pescatarian,twice a day,wood,sometimes,82,0,36,20,No,"['Plastic', 'Glass']",['Microwave']
4761,omnivore,more frequently,wood,sometimes,111,23,45,22,No,['Glass'],"['Stove', 'Oven']"
4762,vegan,twice a day,coal,never,299,18,49,10,Yes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
4763,vegan,twice a day,wood,never,256,1,22,14,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']"
4764,vegan,daily,natural gas,sometimes,232,23,44,1,Sometimes,"['Paper', 'Metal']",['Stove']
4765,vegetarian,less frequently,natural gas,sometimes,168,0,1,0,Yes,['Paper'],"['Stove', 'Oven', 'Microwave']"
4766,omnivore,more frequently,natural gas,sometimes,171,20,33,11,No,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']"
4767,vegetarian,less frequently,natural gas,sometimes,139,5,20,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']"
4768,omnivore,twice a day,coal,often,76,3,39,2,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']"
4769,vegetarian,daily,natural gas,often,90,18,2,8,No,['Glass'],"['Oven', 'Grill', 'Airfryer']"
4770,vegan,more frequently,wood,never,123,10,8,6,Sometimes,['Glass'],['Microwave']
4771,vegetarian,daily,electricity,sometimes,139,18,15,1,Sometimes,['Glass'],['Stove']
4772,vegan,twice a day,natural gas,never,249,7,2,5,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']"
4773,omnivore,twice a day,wood,often,254,7,26,8,Yes,"['Plastic', 'Glass']",['Microwave']
4774,omnivore,more frequently,wood,often,91,13,31,6,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
4775,pescatarian,more frequently,natural gas,often,209,12,39,19,Sometimes,"['Paper', 'Metal']","['Grill', 'Airfryer']"
4776,vegetarian,less frequently,electricity,never,260,15,32,12,No,['Metal'],['Microwave']
4777,vegan,daily,electricity,sometimes,80,23,8,12,Sometimes,['Plastic'],[]
4778,pescatarian,daily,wood,never,275,12,31,1,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
4779,vegan,more frequently,wood,sometimes,249,10,46,22,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven']"
4780,omnivore,more frequently,natural gas,sometimes,131,5,29,20,Sometimes,"['Paper', 'Metal']",['Oven']
4781,vegan,less frequently,coal,sometimes,50,8,0,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']"
4782,pescatarian,twice a day,wood,sometimes,167,2,26,22,Sometimes,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
4783,vegan,less frequently,electricity,never,262,11,44,12,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']"
4784,omnivore,more frequently,coal,often,167,7,19,13,Yes,['Glass'],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
4785,vegan,more frequently,natural gas,never,257,18,43,13,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']"
4786,pescatarian,less frequently,coal,often,207,5,38,15,No,"['Paper', 'Glass']",['Oven']
4787,vegetarian,more frequently,coal,never,122,9,41,12,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
4788,vegan,less frequently,wood,often,273,22,37,2,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
4789,omnivore,twice a day,electricity,sometimes,140,20,21,23,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
4790,vegetarian,twice a day,wood,never,289,24,9,5,Sometimes,"['Plastic', 'Glass']",['Stove']
4791,omnivore,more frequently,wood,never,184,22,45,24,Sometimes,['Plastic'],"['Oven', 'Microwave']"
4792,vegetarian,twice a day,wood,often,260,20,39,23,Yes,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']"
4793,pescatarian,twice a day,wood,sometimes,267,21,16,20,Sometimes,['Glass'],"['Stove', 'Oven', 'Microwave']"
4794,omnivore,daily,wood,often,79,22,5,17,Sometimes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']"
4795,vegetarian,twice a day,wood,never,206,21,34,17,Sometimes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']"
4796,omnivore,less frequently,electricity,sometimes,175,16,38,14,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']"
4797,pescatarian,twice a day,wood,sometimes,259,23,2,7,Yes,"['Plastic', 'Metal']","['Oven', 'Microwave']"
4798,omnivore,less frequently,electricity,never,62,20,26,14,Sometimes,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
4799,vegetarian,more frequently,wood,never,144,7,16,1,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']"
4800,omnivore,more frequently,electricity,often,229,19,31,3,No,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
4801,pescatarian,daily,coal,often,116,10,8,4,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']"
4802,omnivore,twice a day,electricity,sometimes,172,22,42,5,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
4803,omnivore,less frequently,natural gas,never,81,10,0,10,Yes,"['Plastic', 'Metal']",['Oven']
4804,vegetarian,less frequently,natural gas,never,299,16,45,14,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']"
4805,vegan,more frequently,wood,never,214,6,27,9,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']"
4806,vegan,less frequently,wood,never,111,9,48,3,No,[],[]
4807,omnivore,less frequently,wood,sometimes,263,14,18,18,Sometimes,['Plastic'],[]
4808,pescatarian,twice a day,coal,often,233,23,36,7,Sometimes,"['Paper', 'Plastic', 'Metal']",['Microwave']
4809,vegetarian,less frequently,wood,sometimes,271,0,20,7,Yes,['Plastic'],"['Stove', 'Oven']"
4810,vegetarian,twice a day,coal,never,286,1,25,10,Yes,[],"['Oven', 'Grill', 'Airfryer']"
4811,omnivore,more frequently,electricity,never,274,13,15,14,Sometimes,"['Glass', 'Metal']","['Stove', 'Microwave']"
4812,pescatarian,twice a day,electricity,never,180,3,34,19,No,['Glass'],['Stove']
4813,vegan,twice a day,electricity,sometimes,202,5,47,11,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
4814,vegetarian,twice a day,wood,never,287,9,22,17,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']"
4815,vegan,daily,coal,sometimes,113,2,18,3,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']"
4816,vegan,more frequently,wood,never,279,9,20,23,Yes,['Glass'],"['Stove', 'Grill', 'Airfryer']"
4817,omnivore,less frequently,natural gas,never,211,22,19,2,Yes,"['Paper', 'Glass']","['Stove', 'Microwave']"
4818,vegan,twice a day,wood,never,189,10,40,0,Yes,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
4819,vegetarian,more frequently,electricity,sometimes,239,21,40,23,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",[]
4820,vegan,daily,wood,sometimes,155,2,27,18,Yes,['Paper'],[]
4821,vegan,daily,coal,never,190,5,14,16,Yes,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
4822,omnivore,less frequently,coal,never,110,3,2,18,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave']"
4823,omnivore,less frequently,wood,often,238,14,47,16,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
4824,vegetarian,more frequently,wood,often,111,4,42,23,Sometimes,"['Plastic', 'Glass']","['Grill', 'Airfryer']"
4825,omnivore,daily,coal,often,155,16,18,24,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
4826,omnivore,more frequently,electricity,sometimes,127,18,19,19,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']"
4827,pescatarian,more frequently,wood,sometimes,153,17,14,19,Yes,['Metal'],"['Stove', 'Oven']"
4828,omnivore,less frequently,wood,often,56,13,44,14,No,"['Paper', 'Plastic', 'Metal']",['Oven']
4829,vegetarian,more frequently,coal,sometimes,91,7,7,23,Yes,['Plastic'],"['Stove', 'Oven']"
4830,omnivore,daily,electricity,often,289,11,31,19,Yes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']"
4831,vegan,more frequently,wood,sometimes,161,15,15,21,No,"['Plastic', 'Glass', 'Metal']",['Oven']
4832,omnivore,less frequently,natural gas,sometimes,156,11,28,2,Sometimes,['Metal'],['Microwave']
4833,vegetarian,less frequently,natural gas,sometimes,289,22,47,1,Sometimes,"['Glass', 'Metal']",['Microwave']
4834,vegetarian,twice a day,natural gas,sometimes,180,11,33,22,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
4835,vegan,more frequently,wood,sometimes,187,17,12,1,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
4836,omnivore,twice a day,wood,often,124,23,34,18,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
4837,vegetarian,more frequently,electricity,often,226,2,11,15,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
4838,pescatarian,more frequently,natural gas,often,142,17,41,7,Sometimes,[],"['Stove', 'Oven']"
4839,omnivore,daily,electricity,often,265,18,6,20,Sometimes,['Paper'],['Stove']
4840,omnivore,daily,electricity,sometimes,68,10,26,20,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
