ID,Waste Bag Size,Waste Bag Weekly Count
3742,small,5
3743,large,3
3744,small,2
3745,large,3
3746,large,1
3747,small,2
3748,medium,2
3749,large,6
3750,large,4
3751,extra large,5
3752,medium,1
3753,small,3
3754,medium,6
3755,extra large,5
3756,medium,6
3757,small,3
3758,large,2
3759,large,5
3760,small,6
3761,medium,5
3762,small,5
3763,large,6
3764,small,5
3765,large,3
3766,small,4
3767,large,4
3768,extra large,6
3769,medium,7
3770,medium,7
3771,large,3
3772,extra large,6
3773,extra large,4
3774,medium,6
3775,small,6
3776,small,5
3777,small,2
3778,extra large,4
3779,medium,7
3780,medium,2
3781,extra large,3
3782,medium,7
3783,small,4
3784,extra large,3
3785,extra large,6
3786,small,2
3787,large,2
3788,small,2
3789,medium,6
3790,large,3
3791,extra large,6
3792,small,4
3793,large,7
3794,small,6
3795,medium,4
3796,extra large,4
3797,extra large,2
3798,extra large,6
3799,small,2
3800,large,3
3801,extra large,1
3802,extra large,3
3803,extra large,3
3804,small,4
3805,medium,7
3806,medium,4
3807,small,5
3808,small,7
3809,small,1
3810,small,2
3811,large,3
3812,medium,2
3813,large,6
3814,small,5
3815,medium,7
3816,medium,4
3817,large,4
3818,large,1
3819,large,7
3820,large,5
3821,extra large,1
3822,large,5
3823,medium,3
3824,small,2
3825,large,2
3826,large,4
3827,medium,6
3828,small,5
3829,small,1
3830,medium,5
3831,large,2
3832,small,5
3833,large,3
3834,extra large,6
3835,large,2
3836,small,7
3837,extra large,7
3838,medium,2
3839,medium,2
3840,small,1
3841,large,7
3842,medium,7
3843,large,2
3844,medium,6
3845,medium,2
3846,large,2
3847,small,6
3848,small,2
3849,medium,7
3850,extra large,6
3851,large,6
3852,extra large,1
3853,small,2
3854,medium,2
3855,medium,3
3856,small,3
3857,extra large,4
3858,small,6
3859,large,7
3860,small,3
3861,medium,1
3862,large,4
3863,large,6
3864,small,3
3865,small,5
3866,extra large,7
3867,small,1
3868,extra large,5
3869,extra large,5
3870,extra large,5
3871,medium,7
3872,extra large,2
3873,medium,2
3874,small,3
3875,extra large,3
3876,medium,4
3877,extra large,5
3878,small,5
3879,large,1
3880,extra large,4
3881,extra large,2
3882,extra large,5
3883,small,7
3884,large,5
3885,extra large,3
3886,large,6
3887,extra large,6
3888,large,3
3889,extra large,2
3890,extra large,1
3891,small,5
3892,large,6
3893,medium,2
3894,extra large,4
3895,large,5
3896,extra large,7
3897,large,6
3898,small,6
3899,medium,4
3900,small,5
3901,large,6
3902,small,1
3903,large,3
3904,extra large,4
3905,large,5
3906,medium,3
3907,medium,2
3908,medium,2
3909,extra large,7
3910,medium,2
3911,extra large,3
3912,extra large,5
3913,medium,2
3914,medium,5
3915,medium,3
3916,medium,2
3917,large,7
3918,large,6
3919,medium,6
3920,medium,7
3921,medium,5
3922,extra large,5
3923,medium,1
3924,medium,7
3925,extra large,2
3926,large,4
3927,medium,5
3928,medium,1
3929,medium,7
3930,medium,5
3931,extra large,5
3932,large,6
3933,large,3
3934,extra large,2
3935,extra large,4
3936,medium,3
3937,small,7
3938,medium,3
3939,extra large,2
3940,large,4
3941,large,7
3942,small,6
3943,extra large,2
3944,large,1
3945,small,6
3946,extra large,6
3947,medium,6
3948,large,6
3949,large,5
3950,large,3
3951,small,2
3952,medium,1
3953,small,5
3954,medium,5
3955,medium,6
3956,large,6
3957,large,7
3958,extra large,6
3959,small,3
3960,extra large,6
3961,extra large,7
3962,small,3
3963,extra large,1
3964,large,2
3965,extra large,3
3966,medium,4
3967,small,5
3968,extra large,3
3969,small,4
3970,large,7
3971,medium,4
3972,extra large,5
3973,small,6
3974,medium,2
3975,medium,2
3976,medium,3
3977,large,7
3978,extra large,1
3979,large,2
3980,large,4
3981,medium,4
3982,extra large,3
3983,small,1
3984,extra large,1
3985,extra large,7
3986,small,1
3987,large,4
3988,small,7
3989,small,7
3990,small,2
3991,small,2
3992,medium,4
3993,large,6
3994,large,6
3995,large,4
3996,medium,3
3997,medium,3
3998,small,4
3999,small,5
4000,large,6
4001,small,4
4002,medium,3
4003,large,3
4004,small,6
4005,medium,7
4006,medium,1
4007,small,4
4008,medium,6
4009,medium,6
4010,small,4
4011,extra large,7
4012,small,7
4013,medium,4
4014,extra large,1
4015,small,6
4016,small,6
4017,small,5
4018,extra large,5
4019,large,1
4020,extra large,1
4021,small,7
4022,medium,5
4023,extra large,3
4024,large,6
4025,medium,4
4026,small,6
4027,small,2
4028,medium,5
4029,large,3
4030,large,6
4031,large,1
4032,large,2
4033,medium,3
4034,medium,3
4035,extra large,2
4036,small,6
4037,small,3
4038,extra large,3
4039,extra large,6
4040,medium,1
4041,extra large,6
4042,small,2
4043,medium,4
4044,medium,6
4045,extra large,6
4046,medium,1
4047,medium,7
4048,extra large,1
4049,extra large,5
4050,large,3
4051,small,2
4052,small,6
4053,large,3
4054,large,6
4055,extra large,6
4056,large,6
4057,small,5
4058,small,6
4059,small,2
4060,extra large,4
4061,medium,3
4062,extra large,3
4063,extra large,5
4064,extra large,4
4065,large,6
4066,large,2
4067,medium,2
4068,extra large,4
4069,small,7
4070,medium,7
4071,medium,4
4072,medium,7
4073,extra large,4
4074,small,2
4075,extra large,3
4076,extra large,3
4077,large,6
4078,small,7
4079,extra large,4
4080,large,7
4081,large,7
4082,large,6
4083,medium,5
4084,medium,1
4085,small,4
4086,extra large,3
4087,large,4
4088,large,2
4089,small,4
4090,medium,3
4091,extra large,1
4092,extra large,3
4093,medium,6
4094,large,7
4095,medium,5
4096,medium,1
4097,large,7
4098,large,1
4099,extra large,4
4100,small,7
4101,small,7
4102,medium,7
4103,large,2
4104,extra large,3
4105,extra large,6
4106,large,5
4107,small,3
4108,extra large,2
4109,small,1
4110,extra large,4
4111,large,7
4112,large,6
4113,extra large,6
4114,small,7
4115,extra large,6
4116,small,5
4117,small,7
4118,small,7
4119,large,6
4120,extra large,3
4121,medium,6
4122,large,5
4123,small,4
4124,extra large,6
4125,small,5
4126,extra large,3
4127,medium,4
4128,medium,3
4129,extra large,1
4130,extra large,1
4131,extra large,4
4132,large,7
4133,small,7
4134,large,7
4135,small,2
4136,large,6
4137,medium,7
4138,large,3
4139,extra large,2
4140,extra large,2
4141,extra large,1
4142,extra large,5
4143,medium,7
4144,small,2
4145,large,2
4146,small,2
4147,extra large,6
4148,extra large,7
4149,extra large,6
4150,small,3
4151,large,2
4152,extra large,5
4153,extra large,3
4154,extra large,4
4155,extra large,3
4156,medium,6
4157,large,7
4158,large,1
4159,small,2
4160,medium,1
4161,small,7
4162,large,2
4163,small,2
4164,extra large,3
4165,extra large,5
4166,medium,4
4167,small,4
4168,small,2
4169,large,7
4170,extra large,3
4171,medium,4
4172,large,1
4173,large,3
4174,medium,4
4175,extra large,2
4176,small,5
4177,large,3
4178,large,2
4179,extra large,2
4180,medium,3
4181,small,7
4182,extra large,7
4183,small,3
4184,large,3
4185,large,6
4186,medium,1
4187,extra large,7
4188,extra large,4
4189,small,1
4190,medium,5
4191,medium,7
4192,large,6
4193,small,5
4194,medium,1
4195,large,2
4196,medium,4
4197,large,6
4198,large,2
4199,medium,4
4200,small,1
4201,small,2
4202,extra large,5
4203,large,2
4204,small,3
4205,small,5
4206,small,7
4207,medium,5
4208,large,5
4209,large,3
4210,small,7
4211,extra large,7
4212,small,5
4213,small,7
4214,large,7
4215,extra large,2
4216,medium,1
4217,extra large,5
4218,small,7
4219,medium,2
4220,extra large,4
4221,large,5
4222,large,6
4223,medium,5
4224,medium,3
4225,large,1
4226,medium,1
4227,medium,3
4228,extra large,3
4229,extra large,4
4230,extra large,1
4231,medium,7
4232,large,3
4233,small,1
4234,large,7
4235,large,2
4236,medium,3
4237,medium,4
4238,small,1
4239,extra large,1
4240,extra large,7
4241,large,6
4242,medium,6
4243,medium,1
4244,small,6
4245,small,1
4246,extra large,7
4247,small,1
4248,large,5
4249,small,3
4250,small,3
4251,medium,3
4252,small,6
4253,medium,7
4254,medium,3
4255,small,3
4256,large,5
4257,small,4
4258,medium,5
4259,medium,6
4260,small,4
4261,large,7
4262,medium,2
4263,medium,3
4264,small,7
4265,small,6
4266,medium,3
4267,extra large,6
4268,large,5
4269,large,4
4270,large,6
4271,medium,5
4272,medium,1
4273,medium,6
4274,large,3
4275,large,4
4276,large,6
4277,small,5
4278,extra large,1
4279,large,1
4280,large,2
4281,small,4
4282,medium,5
4283,large,3
4284,extra large,2
4285,large,2
4286,extra large,4
4287,large,7
4288,medium,7
4289,small,4
4290,large,7
4291,medium,2
4292,large,1
4293,small,4
4294,extra large,7
4295,large,4
4296,large,6
4297,extra large,6
4298,small,1
4299,large,5
4300,medium,3
4301,small,5
4302,extra large,6
4303,extra large,1
4304,extra large,6
4305,large,7
4306,large,2
4307,extra large,4
4308,small,2
4309,extra large,7
4310,large,4
4311,medium,2
4312,medium,1
4313,small,4
4314,medium,7
4315,large,7
4316,small,1
4317,medium,4
4318,extra large,4
4319,extra large,1
4320,medium,6
4321,large,4
4322,extra large,5
4323,large,5
4324,large,1
4325,medium,1
4326,large,5
4327,small,6
4328,small,7
4329,small,4
4330,small,6
4331,large,4
4332,large,2
4333,small,4
4334,small,1
4335,small,3
4336,medium,2
4337,large,2
4338,small,4
4339,small,4
4340,extra large,7
4341,small,2
4342,medium,7
4343,large,7
4344,medium,4
4345,small,6
4346,medium,6
4347,medium,5
4348,small,6
4349,medium,4
4350,medium,4
4351,extra large,6
4352,small,7
4353,small,3
4354,small,6
4355,small,1
4356,large,4
4357,extra large,5
4358,large,1
4359,large,5
4360,medium,2
4361,small,3
4362,medium,7
4363,extra large,5
4364,medium,2
4365,medium,6
4366,extra large,7
4367,large,7
4368,medium,3
4369,large,7
4370,extra large,5
4371,medium,4
4372,large,1
4373,medium,3
4374,small,2
4375,large,4
4376,medium,1
4377,extra large,6
4378,large,3
4379,small,3
4380,large,5
4381,extra large,2
4382,extra large,5
4383,medium,5
4384,extra large,2
4385,medium,2
4386,medium,2
4387,small,5
4388,medium,3
4389,small,2
4390,small,3
4391,medium,7
4392,extra large,6
4393,medium,6
4394,extra large,6
4395,small,6
4396,medium,1
4397,medium,3
4398,small,6
4399,medium,1
4400,extra large,4
4401,medium,4
4402,medium,5
4403,large,5
4404,extra large,4
4405,small,4
4406,extra large,6
4407,medium,3
4408,small,1
4409,medium,6
4410,medium,6
4411,medium,1
4412,large,2
4413,large,3
4414,extra large,7
4415,medium,1
4416,large,4
4417,small,5
4418,large,2
4419,medium,5
4420,medium,2
4421,large,5
4422,medium,1
4423,medium,5
4424,large,7
4425,small,2
4426,extra large,3
4427,medium,6
4428,large,1
4429,extra large,6
4430,extra large,1
4431,large,6
4432,medium,6
4433,small,3
4434,small,1
4435,large,4
4436,small,4
4437,extra large,6
4438,medium,1
4439,small,7
4440,extra large,7
4441,extra large,5
4442,extra large,1
4443,extra large,7
4444,extra large,7
4445,small,4
4446,extra large,2
4447,small,6
4448,medium,5
4449,medium,4
4450,medium,4
4451,large,4
4452,small,5
4453,large,1
4454,small,1
4455,large,5
4456,medium,5
4457,large,2
4458,medium,2
4459,large,1
4460,medium,5
4461,large,6
4462,medium,4
4463,extra large,6
4464,medium,4
4465,large,1
4466,extra large,7
4467,small,7
4468,large,5
4469,small,7
4470,extra large,1
4471,large,3
4472,small,4
4473,small,3
4474,large,3
4475,large,4
4476,medium,7
4477,small,1
4478,extra large,1
4479,extra large,6
4480,small,6
4481,medium,6
4482,extra large,5
4483,extra large,6
4484,large,4
4485,small,3
4486,large,2
4487,medium,2
4488,small,2
4489,medium,2
4490,medium,2
4491,large,3
4492,extra large,5
4493,medium,1
4494,small,2
4495,small,5
4496,large,4
4497,small,4
4498,large,6
4499,medium,3
4500,extra large,3
4501,large,3
4502,medium,4
4503,extra large,4
4504,medium,5
4505,small,1
4506,large,4
4507,small,5
4508,medium,3
4509,extra large,6
4510,medium,2
4511,extra large,7
4512,large,4
4513,small,3
4514,large,4
4515,medium,1
4516,medium,5
4517,large,6
4518,large,5
4519,extra large,3
4520,small,7
4521,small,4
4522,extra large,6
4523,large,6
4524,medium,4
4525,medium,1
4526,extra large,5
4527,extra large,6
4528,medium,4
4529,medium,5
4530,large,2
4531,medium,7
4532,small,2
4533,medium,5
4534,medium,2
4535,small,6
4536,small,4
4537,medium,3
4538,extra large,3
4539,large,4
4540,medium,2
4541,extra large,4
4542,extra large,3
4543,large,3
4544,medium,1
4545,large,4
4546,extra large,7
4547,extra large,2
4548,small,1
4549,extra large,7
4550,extra large,6
4551,extra large,6
4552,medium,2
4553,large,4
4554,extra large,7
4555,extra large,3
4556,small,2
4557,medium,5
4558,medium,5
4559,medium,1
4560,extra large,3
4561,medium,2
4562,medium,2
4563,small,2
4564,large,5
4565,large,7
4566,small,2
4567,small,1
4568,small,5
4569,medium,6
4570,small,3
4571,small,3
4572,medium,5
4573,large,1
4574,large,5
4575,small,3
4576,medium,7
4577,medium,3
4578,small,7
4579,large,6
4580,large,7
4581,medium,5
4582,medium,3
4583,small,1
4584,medium,2
4585,large,3
4586,small,2
4587,medium,5
4588,medium,3
4589,medium,6
4590,extra large,1
4591,small,6
4592,medium,5
4593,large,4
4594,large,4
4595,large,6
4596,medium,6
4597,large,6
4598,small,7
4599,small,7
4600,large,3
4601,medium,3
4602,medium,6
4603,medium,3
4604,extra large,3
4605,large,2
4606,extra large,6
4607,medium,7
4608,small,7
4609,medium,7
4610,extra large,1
4611,extra large,6
4612,large,7
4613,small,6
4614,extra large,6
4615,large,4
4616,extra large,3
4617,small,5
4618,extra large,1
4619,small,4
4620,medium,3
4621,large,3
4622,large,4
4623,small,6
4624,large,2
4625,small,3
4626,extra large,6
4627,large,5
4628,extra large,3
4629,large,5
4630,large,3
4631,large,5
4632,small,3
4633,large,5
4634,large,5
4635,large,4
4636,medium,6
4637,extra large,6
4638,small,6
4639,medium,7
4640,small,4
4641,small,1
4642,large,3
4643,small,4
4644,large,3
4645,large,5
4646,large,1
4647,small,1
4648,medium,6
4649,small,5
4650,small,2
4651,large,2
4652,extra large,4
4653,small,1
4654,medium,5
4655,medium,7
4656,medium,5
4657,large,2
4658,medium,5
4659,small,4
4660,small,4
4661,extra large,2
4662,large,2
4663,extra large,2
4664,medium,5
4665,extra large,1
4666,medium,6
4667,medium,1
4668,large,5
4669,small,3
4670,extra large,2
4671,extra large,5
4672,extra large,1
4673,medium,3
4674,large,6
4675,extra large,4
4676,medium,3
4677,medium,1
4678,extra large,4
4679,large,5
4680,small,3
4681,extra large,5
4682,small,3
4683,large,5
4684,small,2
4685,small,4
4686,extra large,6
4687,small,2
4688,large,6
4689,extra large,2
4690,small,7
4691,medium,1
4692,large,5
4693,large,2
4694,large,7
4695,medium,1
4696,small,7
4697,extra large,7
4698,medium,1
4699,extra large,5
4700,medium,6
4701,large,4
4702,extra large,6
4703,extra large,7
4704,extra large,1
4705,small,1
4706,extra large,2
4707,extra large,3
4708,large,5
4709,medium,4
4710,small,5
4711,extra large,2
4712,medium,7
4713,medium,3
4714,medium,7
4715,small,7
4716,extra large,1
4717,extra large,5
4718,extra large,2
4719,large,7
4720,medium,5
4721,medium,3
4722,medium,2
4723,extra large,5
4724,small,1
4725,extra large,4
4726,small,6
4727,medium,7
4728,large,6
4729,medium,5
4730,medium,3
4731,large,4
4732,small,5
4733,small,2
4734,small,5
4735,medium,5
4736,large,2
4737,medium,1
4738,small,5
4739,large,4
4740,large,5
4741,large,3
4742,large,7
4743,extra large,1
4744,extra large,3
4745,small,4
4746,extra large,6
4747,large,3
4748,small,5
4749,medium,6
4750,medium,5
4751,extra large,5
4752,large,5
4753,medium,3
4754,small,7
4755,small,5
4756,medium,1
4757,large,5
4758,extra large,3
4759,large,4
4760,medium,5
4761,extra large,6
4762,small,5
4763,extra large,6
4764,large,1
4765,extra large,2
4766,extra large,5
4767,large,4
4768,extra large,6
4769,medium,6
4770,small,6
4771,large,6
4772,medium,6
4773,large,2
4774,medium,6
4775,extra large,3
4776,extra large,3
4777,extra large,7
4778,extra large,3
4779,large,6
4780,small,1
4781,small,4
4782,small,6
4783,large,3
4784,large,3
4785,extra large,6
4786,medium,4
4787,small,1
4788,small,4
4789,large,2
4790,extra large,7
4791,large,2
4792,small,3
4793,large,1
4794,large,2
4795,extra large,7
4796,large,3
4797,medium,6
4798,medium,5
4799,small,5
4800,medium,2
4801,medium,6
4802,medium,2
4803,extra large,5
4804,medium,5
4805,small,2
4806,small,5
4807,small,1
4808,extra large,6
4809,extra large,6
4810,large,7
4811,medium,6
4812,small,1
4813,small,4
4814,large,7
4815,extra large,6
4816,large,3
4817,medium,5
4818,extra large,5
4819,small,6
4820,medium,3
4821,extra large,4
4822,extra large,4
4823,small,2
4824,small,6
4825,extra large,6
4826,medium,6
4827,medium,2
4828,large,2
4829,small,2
4830,extra large,1
4831,medium,7
4832,large,4
4833,large,2
4834,extra large,1
4835,extra large,7
4836,extra large,1
4837,medium,1
4838,small,1
4839,extra large,5
4840,small,1
4841,large,4
4842,medium,5
4843,large,2
4844,small,6
4845,small,1
4846,small,4
4847,large,1
4848,large,3
4849,medium,6
4850,medium,5
4851,extra large,3
4852,large,5
4853,medium,2
4854,small,7
4855,extra large,6
4856,large,7
4857,large,2
4858,extra large,7
4859,medium,2
4860,medium,1
4861,large,4
4862,large,2
4863,medium,3
4864,medium,4
4865,large,1
4866,small,5
4867,large,1
4868,small,3
4869,large,2
4870,medium,5
4871,medium,6
4872,extra large,4
4873,extra large,6
4874,medium,6
4875,extra large,5
4876,large,6
4877,extra large,3
4878,large,4
4879,medium,4
4880,extra large,5
4881,medium,5
4882,small,3
4883,small,6
4884,medium,3
4885,large,2
4886,large,3
4887,small,6
4888,extra large,3
4889,extra large,3
4890,extra large,5
4891,extra large,4
4892,medium,5
4893,extra large,5
4894,extra large,6
4895,medium,1
4896,extra large,4
4897,large,3
4898,large,5
4899,large,1
4900,medium,3
4901,small,2
4902,large,3
4903,small,2
4904,medium,3
4905,extra large,2
4906,extra large,6
4907,extra large,5
4908,extra large,6
4909,extra large,7
4910,extra large,2
4911,large,3
4912,large,3
4913,extra large,1
4914,medium,3
4915,medium,6
4916,medium,7
4917,small,7
4918,medium,6
4919,small,7
4920,medium,1
4921,small,6
4922,large,1
4923,small,6
4924,small,5
4925,extra large,7
4926,extra large,5
4927,large,4
4928,extra large,3
4929,medium,6
4930,medium,3
4931,extra large,4
4932,small,3
4933,extra large,2
4934,small,3
4935,extra large,1
4936,medium,4
4937,large,1
4938,medium,4
4939,medium,4
4940,large,2
4941,small,6
4942,small,2
4943,large,3
4944,small,2
4945,extra large,6
4946,extra large,5
4947,large,2
4948,small,4
4949,medium,6
4950,extra large,2
4951,extra large,6
4952,large,3
4953,large,5
4954,medium,6
4955,medium,5
4956,medium,6
4957,medium,7
4958,medium,5
4959,small,1
4960,small,2
4961,large,7
4962,small,1
4963,small,2
4964,large,2
4965,medium,2
4966,extra large,1
4967,small,7
4968,large,2
4969,small,5
4970,medium,6
4971,medium,6
4972,large,2
4973,medium,4
4974,large,6
4975,small,7
4976,extra large,2
4977,extra large,6
4978,large,5
4979,large,1
4980,medium,3
4981,medium,5
4982,extra large,6
4983,extra large,1
4984,small,6
4985,medium,6
4986,medium,1
4987,large,5
4988,large,7
4989,medium,7
4990,small,4
4991,extra large,6
4992,large,5
4993,medium,4
4994,large,5
4995,large,6
4996,extra large,3
4997,large,7
4998,medium,6
4999,small,4
5000,medium,5
5001,medium,3
5002,large,2
5003,medium,2
5004,extra large,3
5005,large,6
5006,extra large,6
5007,large,6
5008,large,1
5009,extra large,6
5010,medium,4
5011,large,6
5012,medium,1
5013,large,7
5014,extra large,2
5015,medium,7
5016,small,2
5017,medium,6
5018,large,4
5019,extra large,1
5020,small,2
5021,extra large,4
5022,medium,6
5023,extra large,3
5024,extra large,7
5025,large,3
5026,extra large,7
5027,small,6
5028,medium,7
5029,medium,3
5030,large,3
5031,large,4
5032,medium,5
5033,small,2
5034,large,1
5035,small,1
5036,small,5
5037,medium,5
5038,extra large,3
5039,extra large,5
5040,large,6
5041,small,6
5042,medium,2
5043,large,4
5044,medium,1
5045,medium,3
5046,small,5
5047,medium,5
5048,large,4
5049,medium,5
5050,large,2
5051,medium,1
5052,medium,3
5053,small,1
5054,extra large,5
5055,extra large,6
5056,extra large,6
5057,extra large,3
5058,extra large,4
5059,small,7
5060,medium,1
5061,large,2
5062,extra large,1
5063,large,7
5064,extra large,5
5065,extra large,1
5066,extra large,5
5067,extra large,7
5068,medium,5
5069,extra large,5
5070,small,2
5071,large,3
5072,small,1
5073,medium,1
5074,medium,6
5075,extra large,5
5076,medium,7
5077,large,1
5078,medium,6
5079,small,3
5080,medium,5
5081,large,5
5082,medium,5
5083,small,4
5084,extra large,3
5085,extra large,7
5086,small,4
5087,large,4
5088,extra large,5
5089,small,2
5090,small,1
5091,small,5
5092,extra large,2
5093,small,2
5094,small,5
5095,medium,3
5096,large,2
5097,small,5
5098,small,1
5099,small,1
5100,small,5
5101,extra large,5
5102,medium,6
5103,medium,6
5104,extra large,5
5105,medium,4
5106,small,4
5107,medium,1
5108,large,7
5109,medium,6
5110,medium,5
5111,extra large,6
5112,extra large,6
5113,large,3
5114,medium,1
5115,small,1
5116,extra large,6
5117,medium,6
5118,small,2
5119,extra large,6
5120,small,1
5121,large,5
5122,large,7
5123,medium,6
5124,small,6
5125,large,3
5126,extra large,6
5127,small,6
5128,medium,4
5129,small,1
5130,extra large,6
5131,large,3
5132,medium,6
5133,medium,2
5134,small,1
5135,small,6
5136,medium,6
5137,extra large,5
5138,large,6
5139,large,2
5140,small,3
5141,medium,6
5142,large,2
5143,large,7
5144,extra large,5
5145,medium,2
5146,small,7
5147,medium,1
5148,extra large,3
5149,small,1
5150,large,2
5151,extra large,6
5152,extra large,4
5153,medium,7
5154,large,1
5155,large,2
5156,large,7
5157,medium,5
5158,large,3
5159,extra large,6
5160,small,3
5161,large,5
5162,medium,5
5163,small,6
5164,large,3
5165,medium,6
5166,extra large,7
5167,extra large,5
5168,extra large,5
5169,small,6
5170,large,5
5171,medium,4
5172,medium,4
5173,extra large,2
5174,extra large,7
5175,small,2
5176,medium,6
5177,small,6
5178,small,6
5179,large,2
5180,medium,3
5181,extra large,4
5182,extra large,7
5183,large,7
5184,medium,5
5185,small,5
5186,large,1
5187,medium,4
5188,large,3
5189,small,7
5190,large,2
5191,small,5
5192,large,3
5193,large,1
5194,medium,6
5195,small,2
5196,large,4
5197,small,2
5198,extra large,7
5199,extra large,5
5200,extra large,1
5201,medium,3
5202,large,2
5203,medium,5
5204,extra large,1
5205,medium,6
5206,extra large,1
5207,extra large,1
5208,small,2
5209,small,6
5210,large,2
5211,large,5
5212,medium,2
5213,large,3
5214,large,1
5215,large,4
5216,medium,1
5217,extra large,7
5218,small,1
5219,medium,3
5220,extra large,7
5221,small,7
5222,large,6
5223,extra large,7
5224,extra large,2
5225,extra large,2
5226,medium,2
5227,large,7
5228,extra large,6
5229,large,7
5230,extra large,6
5231,extra large,2
5232,large,3
5233,large,2
5234,large,3
5235,medium,4
5236,extra large,1
5237,medium,1
5238,medium,3
5239,medium,3
5240,small,6
5241,large,6
5242,extra large,4
5243,medium,2
5244,extra large,1
5245,medium,4
5246,small,2
5247,small,3
5248,extra large,6
5249,medium,6
5250,small,5
5251,extra large,2
5252,extra large,1
5253,small,2
5254,large,3
5255,small,2
5256,extra large,7
5257,extra large,3
5258,extra large,4
5259,large,4
5260,large,3
5261,large,5
5262,small,3
5263,medium,4
5264,large,4
5265,extra large,4
5266,large,6
5267,large,1
5268,extra large,2
5269,medium,2
5270,large,4
5271,small,2
5272,large,7
5273,small,1
5274,medium,4
5275,medium,3
5276,extra large,1
5277,extra large,5
5278,extra large,6
5279,medium,3
5280,small,3
5281,large,2
5282,small,6
5283,small,1
5284,large,1
5285,extra large,6
5286,extra large,7
5287,small,6
5288,medium,5
5289,large,6
5290,large,1
5291,large,4
5292,extra large,5
5293,extra large,1
5294,small,2
5295,medium,6
5296,small,5
5297,extra large,6
5298,small,2
5299,medium,3
5300,medium,6
5301,extra large,7
5302,medium,5
5303,medium,7
5304,small,2
5305,extra large,6
5306,extra large,6
5307,extra large,6
5308,small,6
5309,extra large,3
5310,medium,1
5311,extra large,4
5312,extra large,4
5313,large,1
5314,small,3
5315,large,6
5316,medium,3
5317,small,5
5318,extra large,4
5319,large,5
5320,large,6
5321,large,6
5322,medium,1
5323,medium,4
5324,medium,7
5325,large,7
5326,large,2
5327,extra large,3
5328,extra large,5
5329,extra large,3
5330,medium,1
5331,large,6
5332,large,3
5333,large,4
5334,extra large,2
5335,extra large,4
5336,small,6
5337,medium,5
5338,medium,6
5339,medium,5
5340,medium,6
5341,medium,6
5342,medium,6
5343,extra large,1
5344,extra large,2
5345,small,4
5346,large,3
5347,extra large,2
5348,large,7
5349,medium,5
5350,extra large,5
5351,small,6
5352,small,1
5353,extra large,1
5354,large,4
5355,medium,4
5356,small,5
5357,medium,4
5358,large,4
5359,medium,4
5360,small,2
5361,small,3
5362,medium,3
5363,medium,4
5364,large,1
5365,medium,4
5366,extra large,2
5367,extra large,3
5368,extra large,3
5369,large,4
5370,small,7
5371,small,1
5372,extra large,7
5373,small,6
5374,medium,5
5375,large,6
5376,large,6
5377,extra large,2
5378,extra large,1
5379,small,5
5380,extra large,4
5381,small,1
5382,small,4
5383,extra large,7
5384,extra large,4
5385,large,1
5386,extra large,6
5387,medium,2
5388,medium,7
5389,large,5
5390,small,3
5391,small,2
5392,small,6
5393,small,2
5394,medium,1
5395,extra large,4
5396,large,1
5397,extra large,6
5398,medium,7
5399,medium,7
5400,large,5
5401,small,3
5402,small,4
5403,extra large,1
5404,medium,4
5405,large,4
5406,extra large,6
5407,medium,7
5408,extra large,1
5409,small,3
5410,small,4
5411,large,5
5412,small,1
5413,medium,1
5414,medium,5
5415,large,4
5416,medium,7
5417,medium,7
5418,medium,1
5419,large,4
5420,medium,5
5421,small,1
5422,extra large,5
5423,large,6
5424,small,4
5425,medium,3
5426,extra large,6
5427,small,1
5428,small,3
5429,small,1
5430,small,2
5431,large,5
5432,small,2
5433,medium,1
5434,extra large,6
5435,medium,1
5436,extra large,4
5437,medium,3
5438,medium,2
5439,small,6
5440,large,6
5441,medium,7
5442,medium,6
5443,medium,5
5444,small,6
5445,medium,1
5446,small,2
5447,large,2
5448,large,2
5449,medium,3
5450,medium,2
5451,extra large,3
5452,small,3
5453,small,6
5454,medium,7
5455,large,5
5456,extra large,7
5457,large,1
5458,medium,3
5459,medium,5
5460,medium,4
5461,small,7
5462,medium,6
5463,medium,3
5464,extra large,5
5465,large,6
5466,extra large,7
5467,small,2
5468,extra large,4
5469,small,5
5470,small,7
5471,large,5
5472,small,4
5473,large,3
5474,large,1
5475,large,4
5476,large,6
5477,small,5
5478,medium,4
5479,large,6
5480,small,5
5481,extra large,2
5482,medium,6
5483,extra large,5
5484,small,1
5485,large,7
5486,medium,2
5487,small,6
5488,extra large,4
5489,small,6
5490,extra large,5
5491,medium,6
5492,small,7
5493,large,5
5494,medium,4
5495,extra large,3
5496,large,1
5497,large,1
5498,large,1
5499,extra large,2
5500,medium,2
5501,large,3
5502,small,5
5503,large,5
5504,small,2
5505,small,7
5506,small,5
5507,small,4
5508,small,6
5509,extra large,5
5510,small,5
5511,small,1
5512,medium,5
5513,medium,7
5514,large,3
5515,medium,6
5516,small,7
5517,medium,5
5518,medium,2
5519,large,4
5520,extra large,4
5521,medium,6
5522,large,2
5523,extra large,2
5524,medium,4
5525,large,5
5526,extra large,4
5527,small,3
5528,large,2
5529,extra large,4
5530,large,1
5531,large,7
5532,medium,3
5533,extra large,2
5534,extra large,1
5535,extra large,7
5536,extra large,1
5537,extra large,1
5538,extra large,6
5539,large,7
5540,medium,2
5541,small,6
5542,extra large,2
