ID,Transport,Vehicle Type,Frequency of Traveling by Air,Vehicle Monthly Distance Km
5558,private,hybrid,frequently,2072
5559,walk/bicycle,,frequently,48
5560,walk/bicycle,,very frequently,35
5561,public,,rarely,1520
5562,public,,rarely,1031
5563,walk/bicycle,,frequently,1
5564,walk/bicycle,,very frequently,65
5565,private,diesel,very frequently,6910
5566,private,hybrid,very frequently,6258
5567,public,,very frequently,71
5568,walk/bicycle,,never,46
5569,private,lpg,rarely,7094
5570,walk/bicycle,,rarely,79
5571,private,petrol,rarely,3967
5572,private,lpg,rarely,3581
5573,private,hybrid,never,477
5574,private,electric,frequently,1825
5575,private,diesel,never,7955
5576,walk/bicycle,,rarely,70
5577,walk/bicycle,,rarely,98
5578,walk/bicycle,,very frequently,21
5579,walk/bicycle,,never,61
5580,private,electric,rarely,4360
5581,private,diesel,never,8057
5582,walk/bicycle,,never,53
5583,private,lpg,very frequently,6654
5584,walk/bicycle,,never,39
5585,walk/bicycle,,very frequently,28
5586,private,diesel,frequently,166
5587,public,,rarely,514
5588,private,hybrid,very frequently,3746
5589,private,petrol,frequently,8432
5590,private,diesel,frequently,1216
5591,walk/bicycle,,very frequently,59
5592,walk/bicycle,,never,19
5593,walk/bicycle,,frequently,11
5594,walk/bicycle,,frequently,15
5595,public,,rarely,1457
5596,public,,frequently,129
5597,private,lpg,rarely,3103
5598,walk/bicycle,,very frequently,20
5599,walk/bicycle,,very frequently,44
5600,walk/bicycle,,frequently,50
5601,private,petrol,very frequently,5779
5602,public,,frequently,1257
5603,walk/bicycle,,frequently,36
5604,private,electric,very frequently,216
5605,public,,frequently,997
5606,public,,frequently,250
5607,private,electric,never,1066
5608,walk/bicycle,,never,38
5609,public,,never,1510
5610,private,electric,frequently,8162
5611,public,,frequently,1098
5612,walk/bicycle,,frequently,77
5613,public,,frequently,1233
5614,walk/bicycle,,frequently,55
5615,private,petrol,rarely,6296
5616,walk/bicycle,,never,53
5617,private,hybrid,very frequently,2670
5618,public,,very frequently,575
5619,walk/bicycle,,very frequently,95
5620,public,,rarely,809
5621,public,,very frequently,390
5622,public,,never,1409
5623,private,diesel,very frequently,8585
5624,private,lpg,very frequently,4444
5625,walk/bicycle,,rarely,98
5626,public,,never,1828
5627,public,,never,1557
5628,public,,frequently,1099
5629,private,diesel,very frequently,3956
5630,public,,very frequently,1718
5631,public,,frequently,442
5632,public,,frequently,304
5633,walk/bicycle,,frequently,8
5634,public,,very frequently,1948
5635,walk/bicycle,,very frequently,64
5636,public,,frequently,1780
5637,walk/bicycle,,rarely,3
5638,public,,frequently,888
5639,walk/bicycle,,very frequently,91
5640,walk/bicycle,,frequently,45
5641,walk/bicycle,,very frequently,79
5642,private,lpg,frequently,7337
5643,walk/bicycle,,frequently,24
5644,private,electric,very frequently,7475
5645,public,,very frequently,1654
5646,walk/bicycle,,frequently,2
5647,public,,never,1423
5648,public,,very frequently,920
5649,walk/bicycle,,frequently,79
5650,private,electric,never,5608
5651,walk/bicycle,,rarely,38
5652,public,,never,1660
5653,public,,never,697
5654,public,,frequently,588
5655,public,,never,861
5656,private,lpg,frequently,7148
5657,private,electric,frequently,8148
5658,walk/bicycle,,very frequently,6
5659,walk/bicycle,,never,28
5660,public,,rarely,1980
5661,public,,very frequently,150
5662,private,lpg,frequently,2722
5663,private,lpg,rarely,3624
5664,walk/bicycle,,very frequently,1
5665,walk/bicycle,,rarely,61
5666,walk/bicycle,,frequently,11
5667,private,electric,never,5875
5668,walk/bicycle,,rarely,46
5669,public,,never,1200
5670,public,,very frequently,1365
5671,walk/bicycle,,rarely,80
5672,private,diesel,never,7226
5673,public,,frequently,441
5674,public,,very frequently,47
5675,public,,rarely,845
5676,private,electric,never,7916
5677,walk/bicycle,,very frequently,71
5678,walk/bicycle,,very frequently,81
5679,walk/bicycle,,very frequently,18
5680,public,,very frequently,1814
5681,walk/bicycle,,very frequently,42
5682,private,hybrid,frequently,6474
5683,public,,very frequently,1588
5684,walk/bicycle,,never,59
5685,walk/bicycle,,very frequently,68
5686,public,,very frequently,1741
5687,public,,frequently,532
5688,private,lpg,rarely,8442
5689,walk/bicycle,,very frequently,42
5690,private,hybrid,rarely,5259
5691,public,,very frequently,574
5692,private,petrol,frequently,1069
5693,private,petrol,very frequently,3271
5694,private,petrol,very frequently,4731
5695,public,,rarely,353
5696,private,hybrid,never,2886
5697,public,,rarely,1527
5698,walk/bicycle,,very frequently,80
5699,walk/bicycle,,frequently,74
5700,private,electric,frequently,4113
5701,public,,rarely,1926
5702,public,,frequently,792
5703,walk/bicycle,,frequently,99
5704,walk/bicycle,,very frequently,61
5705,walk/bicycle,,never,7
5706,walk/bicycle,,rarely,38
5707,walk/bicycle,,never,18
5708,walk/bicycle,,never,91
5709,walk/bicycle,,frequently,61
5710,walk/bicycle,,rarely,35
5711,private,electric,never,5626
5712,public,,frequently,255
5713,walk/bicycle,,never,65
5714,walk/bicycle,,never,31
5715,walk/bicycle,,very frequently,73
5716,private,diesel,rarely,9246
5717,walk/bicycle,,rarely,23
5718,private,hybrid,frequently,9142
5719,public,,never,963
5720,private,electric,rarely,7760
5721,private,lpg,never,7809
5722,private,petrol,frequently,3637
5723,public,,frequently,1382
5724,public,,rarely,792
5725,public,,never,405
5726,walk/bicycle,,rarely,44
5727,private,diesel,rarely,6474
5728,walk/bicycle,,never,8
5729,private,electric,never,8405
5730,public,,frequently,1421
5731,private,electric,very frequently,369
5732,public,,frequently,1267
5733,private,hybrid,frequently,9088
5734,walk/bicycle,,never,42
5735,private,lpg,very frequently,3018
5736,public,,rarely,1352
5737,private,hybrid,never,3403
5738,walk/bicycle,,never,38
5739,private,lpg,very frequently,289
5740,public,,very frequently,1360
5741,walk/bicycle,,frequently,1
5742,private,diesel,very frequently,9237
5743,public,,frequently,119
5744,walk/bicycle,,frequently,42
5745,walk/bicycle,,frequently,32
5746,private,hybrid,very frequently,9041
5747,public,,never,99
5748,private,lpg,frequently,7423
5749,walk/bicycle,,rarely,96
5750,public,,very frequently,91
5751,private,electric,very frequently,6292
5752,private,lpg,frequently,9818
5753,private,diesel,very frequently,2195
5754,private,diesel,rarely,6573
5755,private,diesel,frequently,8592
5756,private,hybrid,rarely,5320
5757,walk/bicycle,,very frequently,29
5758,public,,frequently,970
5759,private,electric,never,5847
5760,walk/bicycle,,rarely,82
5761,public,,never,399
5762,private,electric,very frequently,2010
5763,private,lpg,rarely,1295
5764,public,,very frequently,1374
5765,public,,rarely,1959
5766,public,,frequently,369
5767,private,electric,very frequently,4208
5768,public,,very frequently,1015
5769,private,diesel,never,9597
5770,walk/bicycle,,rarely,84
5771,walk/bicycle,,frequently,34
5772,walk/bicycle,,very frequently,48
5773,walk/bicycle,,very frequently,56
5774,walk/bicycle,,never,41
5775,walk/bicycle,,very frequently,2
5776,walk/bicycle,,frequently,4
5777,public,,never,1410
5778,public,,rarely,24
5779,public,,never,1415
5780,private,hybrid,never,6119
5781,public,,frequently,75
5782,private,petrol,never,7973
5783,public,,never,1494
5784,private,lpg,frequently,1505
5785,private,lpg,very frequently,9982
5786,walk/bicycle,,rarely,83
5787,private,petrol,rarely,9146
5788,public,,very frequently,1966
5789,private,petrol,never,8453
5790,public,,rarely,1651
5791,public,,frequently,1990
5792,private,petrol,very frequently,7955
5793,walk/bicycle,,frequently,43
5794,private,electric,very frequently,7676
5795,walk/bicycle,,rarely,23
5796,walk/bicycle,,rarely,86
5797,private,lpg,never,315
5798,walk/bicycle,,very frequently,25
5799,walk/bicycle,,very frequently,48
5800,public,,never,1945
5801,private,electric,very frequently,1299
5802,public,,very frequently,923
5803,public,,very frequently,1504
5804,walk/bicycle,,frequently,29
5805,private,petrol,very frequently,5676
5806,walk/bicycle,,very frequently,96
5807,public,,frequently,1510
5808,walk/bicycle,,very frequently,58
5809,walk/bicycle,,very frequently,11
5810,walk/bicycle,,very frequently,60
5811,private,petrol,rarely,7968
5812,private,lpg,never,3443
5813,public,,never,1150
5814,public,,rarely,54
5815,private,lpg,rarely,1239
5816,walk/bicycle,,frequently,16
5817,public,,very frequently,1959
5818,walk/bicycle,,rarely,62
5819,private,electric,rarely,7189
5820,private,petrol,rarely,2165
5821,private,petrol,frequently,7063
5822,public,,very frequently,1796
5823,public,,frequently,1405
5824,private,electric,very frequently,6113
5825,private,lpg,frequently,1430
5826,private,diesel,very frequently,5157
5827,private,hybrid,rarely,830
5828,private,diesel,very frequently,1597
5829,public,,never,1377
5830,walk/bicycle,,rarely,43
5831,private,lpg,rarely,7044
5832,private,hybrid,very frequently,9604
5833,public,,very frequently,1935
5834,walk/bicycle,,rarely,26
5835,private,electric,rarely,9259
5836,public,,very frequently,659
5837,walk/bicycle,,frequently,38
5838,private,diesel,rarely,2883
5839,public,,never,352
5840,walk/bicycle,,frequently,13
5841,public,,never,1604
5842,private,lpg,never,1715
5843,private,electric,very frequently,465
5844,public,,frequently,39
5845,public,,never,893
5846,public,,never,1567
5847,private,hybrid,frequently,9683
5848,walk/bicycle,,very frequently,77
5849,walk/bicycle,,never,53
5850,private,petrol,never,8916
5851,public,,very frequently,1979
5852,walk/bicycle,,very frequently,6
5853,private,lpg,frequently,7871
5854,public,,frequently,779
5855,private,hybrid,very frequently,5846
5856,walk/bicycle,,frequently,28
5857,private,lpg,frequently,6590
5858,public,,frequently,1779
5859,public,,frequently,867
5860,private,lpg,very frequently,7513
5861,private,hybrid,very frequently,5557
5862,private,diesel,never,5792
5863,walk/bicycle,,frequently,53
5864,walk/bicycle,,never,77
5865,private,lpg,frequently,1222
5866,public,,rarely,1251
5867,private,lpg,frequently,2363
5868,walk/bicycle,,very frequently,8
5869,private,hybrid,never,2740
5870,walk/bicycle,,never,61
5871,private,lpg,frequently,942
5872,public,,rarely,1378
5873,walk/bicycle,,rarely,87
5874,walk/bicycle,,rarely,8
5875,public,,frequently,276
5876,public,,very frequently,1364
5877,private,electric,very frequently,7699
5878,walk/bicycle,,never,69
5879,private,hybrid,very frequently,7724
5880,public,,never,1672
5881,public,,rarely,520
5882,private,electric,rarely,8406
5883,public,,frequently,691
5884,walk/bicycle,,never,21
5885,public,,very frequently,1931
5886,private,lpg,very frequently,8773
5887,walk/bicycle,,frequently,18
5888,private,diesel,frequently,3731
5889,private,electric,frequently,8155
5890,public,,rarely,755
5891,public,,very frequently,371
5892,walk/bicycle,,rarely,7
5893,walk/bicycle,,never,51
5894,walk/bicycle,,frequently,88
5895,private,lpg,never,9425
5896,walk/bicycle,,rarely,40
5897,public,,very frequently,1091
5898,private,petrol,frequently,3150
5899,walk/bicycle,,frequently,78
5900,private,diesel,frequently,3220
5901,private,electric,rarely,298
5902,private,diesel,very frequently,502
5903,public,,frequently,826
5904,walk/bicycle,,rarely,9
5905,private,diesel,frequently,1743
5906,walk/bicycle,,rarely,67
5907,walk/bicycle,,never,23
5908,private,diesel,frequently,3974
5909,private,diesel,never,3080
5910,public,,rarely,1539
5911,walk/bicycle,,rarely,16
5912,walk/bicycle,,frequently,93
5913,public,,never,666
5914,walk/bicycle,,frequently,60
5915,walk/bicycle,,frequently,88
5916,walk/bicycle,,rarely,68
5917,walk/bicycle,,never,89
5918,walk/bicycle,,rarely,97
5919,walk/bicycle,,rarely,42
5920,walk/bicycle,,never,83
5921,walk/bicycle,,very frequently,31
5922,public,,frequently,1495
5923,walk/bicycle,,never,67
5924,walk/bicycle,,frequently,44
5925,public,,rarely,1914
5926,private,diesel,never,4334
5927,private,lpg,rarely,2352
5928,private,hybrid,frequently,8443
5929,public,,rarely,571
5930,walk/bicycle,,frequently,19
5931,private,diesel,very frequently,9969
5932,private,diesel,frequently,9844
5933,public,,frequently,1158
5934,private,electric,rarely,3711
5935,public,,very frequently,1902
5936,walk/bicycle,,never,74
5937,public,,very frequently,449
5938,private,hybrid,never,4132
5939,walk/bicycle,,frequently,35
5940,private,lpg,frequently,9122
5941,public,,frequently,124
5942,public,,very frequently,1588
5943,private,lpg,frequently,1812
5944,walk/bicycle,,never,27
5945,public,,very frequently,677
5946,private,hybrid,very frequently,5815
5947,walk/bicycle,,rarely,78
5948,public,,rarely,407
5949,walk/bicycle,,very frequently,42
5950,walk/bicycle,,frequently,18
5951,public,,frequently,1105
5952,walk/bicycle,,very frequently,21
5953,walk/bicycle,,rarely,36
5954,public,,frequently,1271
5955,public,,rarely,1804
5956,private,petrol,never,6507
5957,public,,very frequently,830
5958,private,hybrid,very frequently,8951
5959,walk/bicycle,,never,62
5960,public,,very frequently,120
5961,private,petrol,frequently,2620
5962,walk/bicycle,,rarely,95
5963,private,hybrid,frequently,6615
5964,walk/bicycle,,never,61
5965,private,petrol,rarely,5009
5966,private,petrol,very frequently,7493
5967,private,hybrid,very frequently,4045
5968,walk/bicycle,,never,24
5969,public,,frequently,1328
5970,public,,rarely,839
5971,private,petrol,frequently,6014
5972,public,,very frequently,359
5973,public,,frequently,1839
5974,public,,very frequently,929
5975,walk/bicycle,,frequently,61
5976,private,diesel,never,9089
5977,walk/bicycle,,never,46
5978,public,,never,1814
5979,public,,never,333
5980,public,,never,1389
5981,public,,rarely,40
5982,walk/bicycle,,frequently,8
5983,walk/bicycle,,rarely,39
5984,public,,very frequently,1435
5985,public,,frequently,104
5986,public,,very frequently,1500
5987,walk/bicycle,,never,21
5988,walk/bicycle,,rarely,60
5989,private,electric,frequently,1018
5990,walk/bicycle,,frequently,49
5991,public,,never,370
5992,walk/bicycle,,never,91
5993,public,,very frequently,1318
5994,private,lpg,rarely,9953
5995,public,,never,1311
5996,private,lpg,very frequently,6415
5997,walk/bicycle,,frequently,20
5998,private,petrol,rarely,6229
5999,public,,never,827
6000,private,hybrid,frequently,4193
6001,walk/bicycle,,never,37
6002,walk/bicycle,,very frequently,96
6003,walk/bicycle,,frequently,7
6004,public,,rarely,535
6005,private,lpg,very frequently,135
6006,private,diesel,rarely,3983
6007,private,diesel,frequently,8328
6008,walk/bicycle,,never,38
6009,private,lpg,very frequently,8163
6010,private,electric,never,2728
6011,private,electric,very frequently,3695
6012,walk/bicycle,,never,83
6013,walk/bicycle,,very frequently,3
6014,walk/bicycle,,never,64
6015,private,hybrid,very frequently,7678
6016,walk/bicycle,,frequently,19
6017,private,hybrid,rarely,3252
6018,walk/bicycle,,frequently,60
6019,walk/bicycle,,very frequently,71
6020,private,petrol,rarely,3038
6021,walk/bicycle,,very frequently,26
6022,private,lpg,very frequently,7367
6023,public,,never,52
6024,walk/bicycle,,very frequently,17
6025,private,lpg,very frequently,6738
6026,walk/bicycle,,frequently,42
6027,walk/bicycle,,frequently,86
6028,walk/bicycle,,very frequently,23
6029,walk/bicycle,,very frequently,44
6030,walk/bicycle,,rarely,68
6031,walk/bicycle,,rarely,62
6032,walk/bicycle,,frequently,14
6033,walk/bicycle,,rarely,18
6034,walk/bicycle,,never,93
6035,private,petrol,never,5067
6036,public,,rarely,1034
6037,walk/bicycle,,rarely,35
6038,private,diesel,never,6972
6039,walk/bicycle,,very frequently,84
6040,private,diesel,frequently,9351
6041,public,,frequently,271
6042,walk/bicycle,,rarely,6
6043,public,,very frequently,62
6044,walk/bicycle,,never,24
6045,private,lpg,frequently,9811
6046,walk/bicycle,,rarely,76
6047,public,,never,1154
6048,public,,frequently,1645
6049,walk/bicycle,,never,73
6050,walk/bicycle,,never,21
6051,public,,very frequently,179
6052,private,hybrid,never,5618
6053,private,petrol,rarely,5872
6054,public,,very frequently,964
6055,private,electric,frequently,1921
6056,public,,rarely,1642
6057,walk/bicycle,,frequently,67
6058,public,,frequently,1828
6059,walk/bicycle,,rarely,17
6060,walk/bicycle,,never,64
6061,walk/bicycle,,very frequently,45
6062,walk/bicycle,,very frequently,26
6063,private,lpg,frequently,4730
6064,public,,never,516
6065,private,electric,frequently,9149
6066,walk/bicycle,,very frequently,71
6067,walk/bicycle,,very frequently,38
6068,private,petrol,rarely,3962
6069,private,petrol,rarely,2622
6070,public,,very frequently,656
6071,walk/bicycle,,rarely,67
6072,public,,never,383
6073,public,,rarely,1133
6074,walk/bicycle,,rarely,69
6075,walk/bicycle,,very frequently,48
6076,walk/bicycle,,rarely,32
6077,walk/bicycle,,never,45
6078,walk/bicycle,,rarely,88
6079,walk/bicycle,,never,94
6080,public,,rarely,1102
6081,public,,never,412
6082,public,,frequently,1229
6083,private,electric,frequently,6933
6084,walk/bicycle,,very frequently,17
6085,public,,very frequently,335
6086,public,,frequently,995
6087,public,,very frequently,626
6088,walk/bicycle,,very frequently,50
6089,walk/bicycle,,never,11
6090,walk/bicycle,,never,53
6091,public,,never,1527
6092,walk/bicycle,,rarely,60
6093,walk/bicycle,,never,46
6094,public,,never,185
6095,public,,very frequently,24
6096,private,hybrid,very frequently,2314
6097,public,,very frequently,1582
6098,private,lpg,rarely,9857
6099,private,petrol,frequently,2799
6100,public,,never,1006
6101,walk/bicycle,,frequently,56
6102,walk/bicycle,,never,90
6103,private,petrol,very frequently,9947
6104,public,,very frequently,1510
6105,private,petrol,rarely,8270
6106,walk/bicycle,,very frequently,97
6107,public,,frequently,498
6108,walk/bicycle,,very frequently,85
6109,public,,rarely,466
6110,public,,never,1557
6111,walk/bicycle,,very frequently,43
6112,private,electric,very frequently,5589
6113,public,,very frequently,98
6114,walk/bicycle,,frequently,82
6115,private,petrol,very frequently,5562
6116,public,,never,891
6117,walk/bicycle,,very frequently,40
6118,public,,very frequently,1941
6119,walk/bicycle,,never,10
6120,private,electric,rarely,3632
6121,public,,never,1488
6122,walk/bicycle,,frequently,21
6123,private,hybrid,frequently,2991
6124,public,,never,304
6125,walk/bicycle,,frequently,68
6126,walk/bicycle,,never,99
6127,private,hybrid,very frequently,8099
6128,private,lpg,rarely,2683
6129,private,hybrid,very frequently,6802
6130,public,,never,1012
6131,walk/bicycle,,rarely,64
6132,public,,frequently,54
6133,private,petrol,never,2336
6134,private,petrol,never,294
6135,public,,rarely,1571
6136,public,,frequently,1076
6137,private,lpg,very frequently,768
6138,public,,frequently,1773
6139,walk/bicycle,,very frequently,52
6140,public,,rarely,1346
6141,walk/bicycle,,frequently,24
6142,walk/bicycle,,very frequently,39
6143,public,,rarely,909
6144,public,,never,1136
6145,public,,frequently,1016
6146,private,lpg,frequently,2264
6147,private,electric,never,4327
6148,walk/bicycle,,very frequently,1
6149,walk/bicycle,,never,6
6150,walk/bicycle,,never,80
6151,public,,frequently,38
6152,private,hybrid,very frequently,2976
6153,public,,frequently,992
6154,private,petrol,frequently,1807
6155,private,diesel,rarely,8358
6156,private,electric,frequently,2705
6157,private,diesel,very frequently,9156
6158,walk/bicycle,,rarely,33
6159,private,electric,never,6465
6160,walk/bicycle,,never,5
6161,walk/bicycle,,very frequently,69
6162,private,diesel,never,9198
6163,walk/bicycle,,very frequently,77
6164,private,petrol,very frequently,7723
6165,private,petrol,frequently,3227
6166,private,lpg,very frequently,8526
6167,private,petrol,frequently,7363
6168,public,,very frequently,1298
6169,walk/bicycle,,rarely,17
6170,walk/bicycle,,never,68
6171,private,diesel,rarely,5794
6172,walk/bicycle,,frequently,24
6173,public,,rarely,692
6174,private,petrol,very frequently,1126
6175,walk/bicycle,,never,11
6176,public,,rarely,1593
6177,walk/bicycle,,frequently,14
6178,public,,rarely,1523
6179,public,,never,341
6180,private,petrol,never,11
6181,private,petrol,frequently,1616
6182,private,diesel,rarely,570
6183,walk/bicycle,,rarely,19
6184,walk/bicycle,,very frequently,50
6185,walk/bicycle,,rarely,93
6186,walk/bicycle,,never,60
6187,private,hybrid,rarely,3160
6188,walk/bicycle,,very frequently,78
6189,private,diesel,frequently,7321
6190,public,,rarely,201
6191,private,hybrid,rarely,4273
6192,walk/bicycle,,never,40
6193,walk/bicycle,,never,28
6194,private,petrol,rarely,5844
6195,walk/bicycle,,never,13
6196,private,lpg,very frequently,9280
6197,private,electric,very frequently,5917
6198,private,diesel,rarely,3498
6199,public,,very frequently,817
6200,public,,rarely,667
6201,public,,rarely,727
6202,walk/bicycle,,frequently,77
6203,public,,frequently,4
6204,public,,very frequently,183
6205,private,hybrid,frequently,4023
6206,public,,rarely,1815
6207,walk/bicycle,,frequently,81
6208,public,,very frequently,1104
6209,walk/bicycle,,very frequently,93
6210,private,lpg,never,7657
6211,walk/bicycle,,frequently,53
6212,walk/bicycle,,never,87
6213,public,,very frequently,520
6214,public,,rarely,494
6215,private,petrol,rarely,8406
6216,private,diesel,rarely,4130
6217,private,electric,never,4004
6218,private,electric,frequently,7726
6219,walk/bicycle,,very frequently,15
6220,public,,rarely,190
6221,private,petrol,never,9324
6222,public,,frequently,1047
6223,public,,rarely,1188
6224,private,diesel,very frequently,6317
6225,walk/bicycle,,frequently,87
6226,public,,frequently,383
6227,walk/bicycle,,frequently,9
6228,private,hybrid,frequently,159
6229,private,diesel,never,1272
6230,walk/bicycle,,very frequently,16
6231,private,electric,never,1123
6232,public,,frequently,1000
6233,private,hybrid,rarely,1444
6234,public,,never,1973
6235,public,,rarely,687
6236,walk/bicycle,,very frequently,71
6237,private,hybrid,very frequently,1702
6238,walk/bicycle,,very frequently,68
6239,public,,frequently,840
6240,walk/bicycle,,never,86
6241,public,,never,80
6242,walk/bicycle,,never,38
6243,private,lpg,rarely,6906
6244,public,,frequently,761
6245,public,,rarely,282
6246,public,,frequently,450
6247,public,,never,959
6248,public,,very frequently,528
6249,public,,frequently,62
6250,private,diesel,very frequently,9446
6251,public,,very frequently,731
6252,private,diesel,frequently,4244
6253,walk/bicycle,,rarely,19
6254,public,,frequently,1140
6255,private,diesel,very frequently,2466
6256,walk/bicycle,,never,86
6257,private,petrol,never,2388
6258,public,,frequently,216
6259,public,,frequently,441
6260,public,,frequently,1398
6261,public,,rarely,564
6262,walk/bicycle,,frequently,82
6263,walk/bicycle,,very frequently,89
6264,private,lpg,very frequently,3400
6265,private,diesel,rarely,2451
6266,private,electric,very frequently,9197
6267,private,diesel,rarely,3316
6268,public,,never,1802
6269,public,,never,74
6270,walk/bicycle,,rarely,71
6271,walk/bicycle,,frequently,95
6272,public,,never,729
6273,public,,frequently,1713
6274,walk/bicycle,,never,44
6275,walk/bicycle,,never,56
6276,public,,never,1506
6277,walk/bicycle,,frequently,75
6278,private,lpg,frequently,6807
6279,private,lpg,very frequently,7460
6280,private,electric,very frequently,5108
6281,public,,very frequently,1243
6282,public,,never,840
6283,private,lpg,never,1452
6284,private,diesel,very frequently,5013
6285,private,hybrid,very frequently,2392
6286,walk/bicycle,,rarely,70
6287,private,hybrid,never,3364
6288,private,petrol,never,6372
6289,public,,frequently,1212
6290,public,,never,958
6291,walk/bicycle,,very frequently,13
6292,private,hybrid,very frequently,4354
6293,walk/bicycle,,frequently,40
6294,walk/bicycle,,never,83
6295,public,,frequently,293
6296,walk/bicycle,,frequently,83
6297,walk/bicycle,,rarely,26
6298,public,,frequently,2000
6299,private,diesel,never,4242
6300,public,,never,784
6301,private,electric,very frequently,1015
6302,walk/bicycle,,very frequently,11
6303,walk/bicycle,,frequently,48
6304,public,,rarely,971
6305,walk/bicycle,,frequently,0
6306,walk/bicycle,,never,9
6307,public,,never,1863
6308,walk/bicycle,,never,96
6309,private,lpg,never,5437
6310,public,,rarely,1759
6311,private,lpg,frequently,5891
6312,walk/bicycle,,never,14
6313,public,,frequently,1745
6314,public,,frequently,102
6315,public,,frequently,1456
6316,private,diesel,rarely,9487
6317,public,,never,1572
6318,walk/bicycle,,rarely,49
6319,private,petrol,very frequently,5737
6320,private,hybrid,rarely,6770
6321,walk/bicycle,,never,7
6322,private,diesel,never,9523
6323,private,petrol,rarely,5131
6324,walk/bicycle,,rarely,68
6325,walk/bicycle,,very frequently,86
6326,public,,frequently,1257
6327,private,electric,rarely,6685
6328,walk/bicycle,,rarely,24
6329,private,lpg,never,58
6330,walk/bicycle,,never,1
6331,public,,frequently,653
6332,public,,rarely,1773
6333,public,,frequently,1958
6334,private,lpg,never,4717
6335,walk/bicycle,,rarely,18
6336,private,electric,very frequently,1187
6337,walk/bicycle,,very frequently,19
6338,private,electric,frequently,7195
6339,private,electric,never,5476
6340,public,,never,1591
6341,walk/bicycle,,never,66
6342,walk/bicycle,,rarely,83
6343,walk/bicycle,,frequently,72
6344,walk/bicycle,,very frequently,16
6345,public,,never,481
6346,private,diesel,frequently,578
6347,public,,frequently,946
6348,walk/bicycle,,very frequently,12
6349,private,hybrid,rarely,8768
6350,private,electric,very frequently,4661
6351,public,,never,1585
6352,walk/bicycle,,frequently,96
6353,public,,very frequently,398
6354,walk/bicycle,,rarely,63
6355,public,,frequently,335
6356,private,hybrid,frequently,8679
6357,walk/bicycle,,never,8
6358,public,,very frequently,640
6359,private,petrol,never,6761
6360,public,,never,1725
6361,private,hybrid,rarely,2076
6362,private,lpg,frequently,2829
6363,private,petrol,never,6652
6364,public,,rarely,393
6365,private,electric,never,1134
6366,walk/bicycle,,very frequently,69
6367,public,,rarely,303
6368,private,electric,very frequently,646
6369,walk/bicycle,,frequently,62
6370,walk/bicycle,,very frequently,95
6371,public,,very frequently,750
6372,public,,never,1606
6373,public,,rarely,1239
6374,private,petrol,very frequently,5210
6375,walk/bicycle,,rarely,56
6376,private,lpg,never,7074
6377,public,,never,255
6378,private,hybrid,never,6068
6379,public,,never,1665
6380,private,lpg,rarely,9950
6381,public,,never,1651
6382,public,,very frequently,472
6383,walk/bicycle,,very frequently,16
6384,public,,very frequently,1033
6385,public,,rarely,872
6386,private,lpg,very frequently,3811
6387,private,petrol,rarely,2915
6388,walk/bicycle,,frequently,34
6389,public,,rarely,1835
6390,private,electric,never,4763
6391,public,,rarely,1595
6392,public,,very frequently,356
6393,public,,rarely,770
6394,public,,very frequently,526
6395,private,electric,frequently,3940
6396,private,diesel,frequently,3689
6397,walk/bicycle,,very frequently,53
6398,private,diesel,frequently,278
6399,private,diesel,frequently,4623
6400,walk/bicycle,,never,95
6401,public,,rarely,402
6402,private,diesel,never,4272
6403,walk/bicycle,,rarely,68
6404,public,,frequently,1509
6405,public,,rarely,1518
6406,public,,frequently,1130
6407,walk/bicycle,,rarely,89
6408,private,lpg,very frequently,1274
6409,public,,frequently,1886
6410,private,hybrid,frequently,3946
6411,public,,very frequently,1476
6412,walk/bicycle,,very frequently,80
6413,private,diesel,rarely,3870
6414,private,petrol,very frequently,1616
6415,walk/bicycle,,very frequently,95
6416,private,diesel,frequently,6098
6417,private,hybrid,rarely,6117
6418,walk/bicycle,,very frequently,0
6419,walk/bicycle,,very frequently,25
6420,walk/bicycle,,rarely,93
6421,public,,never,1529
6422,walk/bicycle,,never,1
6423,private,electric,frequently,9901
6424,public,,rarely,1383
6425,walk/bicycle,,never,39
6426,private,electric,rarely,5931
6427,private,petrol,never,681
6428,private,lpg,frequently,9795
6429,private,petrol,never,1861
6430,public,,frequently,522
6431,public,,never,1157
6432,private,electric,frequently,5284
6433,walk/bicycle,,rarely,56
6434,public,,rarely,450
6435,public,,very frequently,1112
6436,private,diesel,frequently,74
6437,public,,frequently,625
6438,walk/bicycle,,never,64
6439,public,,rarely,1301
6440,public,,rarely,422
6441,public,,rarely,1416
6442,private,lpg,never,5105
6443,walk/bicycle,,very frequently,42
6444,public,,frequently,1790
6445,private,diesel,frequently,5097
6446,walk/bicycle,,never,35
6447,private,hybrid,very frequently,3557
6448,private,petrol,never,7501
6449,private,diesel,frequently,7316
6450,public,,very frequently,780
6451,walk/bicycle,,frequently,91
6452,public,,rarely,569
6453,public,,very frequently,190
6454,walk/bicycle,,rarely,65
6455,private,electric,rarely,5729
6456,walk/bicycle,,very frequently,67
6457,walk/bicycle,,very frequently,42
6458,walk/bicycle,,never,21
6459,walk/bicycle,,rarely,82
6460,public,,rarely,1400
6461,public,,never,1221
6462,public,,never,295
6463,walk/bicycle,,rarely,37
6464,public,,never,1952
6465,public,,frequently,557
6466,public,,rarely,1865
6467,private,lpg,rarely,8238
6468,walk/bicycle,,very frequently,78
