ID,Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
3974,obese,male,vegan,more frequently,natural gas,private,lpg,never,281,rarely,3986,medium,2,10,39,18,Yes,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",3007
3975,normal,male,vegan,daily,electricity,walk/bicycle,,never,295,frequently,97,medium,2,7,50,10,No,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1919
3976,normal,male,vegan,daily,wood,public,,never,256,never,36,medium,3,6,14,10,Yes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",1101
3977,overweight,male,omnivore,twice a day,electricity,private,petrol,never,74,very frequently,7900,large,7,22,21,1,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",5921
3978,normal,male,omnivore,twice a day,coal,private,hybrid,sometimes,253,frequently,6344,extra large,1,15,30,3,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3068
3979,overweight,female,omnivore,daily,coal,walk/bicycle,,often,267,rarely,18,large,2,15,21,6,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1835
3980,normal,male,vegetarian,daily,wood,public,,often,204,never,1721,large,4,13,40,0,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",1653
3981,underweight,female,vegetarian,more frequently,electricity,public,,sometimes,116,never,1251,medium,4,0,50,17,Sometimes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1164
3982,obese,female,pescatarian,daily,wood,walk/bicycle,,often,214,frequently,14,extra large,3,20,18,3,Sometimes,['Paper'],"['Stove', 'Microwave']",2204
3983,normal,male,pescatarian,daily,natural gas,public,,sometimes,61,very frequently,312,small,1,12,23,22,Yes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2554
3984,obese,male,vegetarian,twice a day,electricity,private,electric,often,137,never,4159,extra large,1,3,47,21,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1640
3985,normal,female,omnivore,twice a day,coal,walk/bicycle,,often,64,never,35,extra large,7,20,4,5,Yes,['Glass'],['Stove'],1666
3986,underweight,female,vegetarian,less frequently,electricity,walk/bicycle,,often,94,rarely,31,small,1,8,4,13,Sometimes,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']",436
3987,obese,female,vegetarian,twice a day,wood,walk/bicycle,,sometimes,150,never,52,large,4,6,1,15,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",1120
3988,obese,female,omnivore,twice a day,wood,public,,sometimes,266,very frequently,1020,small,7,21,12,6,Sometimes,['Metal'],"['Grill', 'Airfryer']",2898
3989,normal,female,vegan,twice a day,electricity,public,,sometimes,51,very frequently,1098,small,7,3,49,17,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",2466
3990,normal,male,vegan,less frequently,coal,public,,often,255,very frequently,1921,small,2,11,42,13,Yes,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2893
3991,underweight,female,vegan,less frequently,wood,walk/bicycle,,often,74,very frequently,52,small,2,23,30,2,Sometimes,['Plastic'],"['Stove', 'Microwave']",2153
3992,obese,female,vegetarian,less frequently,electricity,private,hybrid,sometimes,79,never,908,medium,4,17,30,21,Yes,['Glass'],"['Stove', 'Oven', 'Microwave']",1455
3993,underweight,female,pescatarian,daily,coal,private,lpg,often,256,frequently,2146,large,6,23,14,8,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",2406
3994,overweight,female,vegetarian,twice a day,natural gas,private,hybrid,never,221,frequently,7909,large,6,12,40,2,No,"['Plastic', 'Glass', 'Metal']",['Oven'],3458
3995,overweight,male,vegetarian,twice a day,natural gas,public,,often,168,rarely,989,large,4,1,12,1,Yes,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1533
3996,underweight,male,omnivore,daily,electricity,walk/bicycle,,sometimes,82,never,57,medium,3,23,24,14,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",912
3997,underweight,female,vegetarian,less frequently,coal,walk/bicycle,,often,64,never,50,medium,3,5,43,14,Yes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",1592
3998,normal,male,vegan,twice a day,natural gas,walk/bicycle,,often,139,frequently,89,small,4,14,3,3,Yes,"['Paper', 'Plastic']",['Stove'],1402
3999,obese,male,vegan,daily,wood,walk/bicycle,,never,139,very frequently,12,small,5,18,46,8,No,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",3481
4000,obese,male,vegan,daily,electricity,public,,sometimes,217,rarely,287,large,6,5,30,8,Yes,['Glass'],"['Grill', 'Airfryer']",1902
4001,normal,female,pescatarian,twice a day,coal,public,,sometimes,70,very frequently,200,small,4,20,29,21,Sometimes,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",2384
4002,obese,male,pescatarian,more frequently,electricity,private,hybrid,never,81,rarely,4327,medium,3,24,3,7,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave']",1645
4003,normal,female,omnivore,less frequently,electricity,walk/bicycle,,sometimes,100,never,10,large,3,5,12,20,Sometimes,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",679
4004,normal,male,omnivore,less frequently,natural gas,public,,often,119,very frequently,268,small,6,18,15,3,No,['Metal'],"['Stove', 'Grill', 'Airfryer']",2535
4005,overweight,male,vegetarian,daily,natural gas,public,,never,83,very frequently,614,medium,7,3,35,2,Yes,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",2892
4006,underweight,female,pescatarian,daily,electricity,private,hybrid,often,239,rarely,8794,medium,1,20,30,18,No,"['Glass', 'Metal']","['Oven', 'Microwave']",2255
4007,obese,female,omnivore,daily,wood,private,petrol,sometimes,83,rarely,3882,small,4,9,34,6,Sometimes,[],[],3114
4008,underweight,male,vegetarian,more frequently,electricity,walk/bicycle,,sometimes,94,very frequently,71,medium,6,22,2,0,Sometimes,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1940
4009,overweight,female,pescatarian,more frequently,coal,public,,often,141,never,1197,medium,6,4,20,1,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1517
4010,overweight,female,pescatarian,less frequently,electricity,private,lpg,often,100,very frequently,721,small,4,7,45,23,No,"['Paper', 'Glass']",[],2730
4011,overweight,female,omnivore,less frequently,electricity,public,,sometimes,229,frequently,1866,extra large,7,1,45,2,Sometimes,['Plastic'],['Stove'],2846
4012,obese,male,omnivore,daily,electricity,public,,sometimes,190,very frequently,438,small,7,22,16,10,No,"['Plastic', 'Glass', 'Metal']",['Microwave'],2795
4013,underweight,female,vegan,daily,natural gas,walk/bicycle,,never,59,never,92,medium,4,15,42,24,Yes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1114
4014,obese,female,vegetarian,less frequently,natural gas,private,lpg,never,219,never,6919,extra large,1,16,13,23,Yes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3053
4015,overweight,male,omnivore,less frequently,coal,walk/bicycle,,often,68,frequently,93,small,6,20,41,1,Yes,"['Paper', 'Plastic', 'Metal']",['Oven'],2159
4016,underweight,male,vegan,less frequently,wood,public,,often,65,frequently,1350,small,6,17,21,19,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1816
4017,underweight,female,vegan,twice a day,electricity,walk/bicycle,,often,83,very frequently,76,small,5,3,5,22,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1589
4018,overweight,male,vegan,twice a day,coal,public,,sometimes,93,very frequently,1621,extra large,5,21,17,10,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",3170
4019,overweight,male,vegetarian,daily,natural gas,walk/bicycle,,often,172,never,40,large,1,8,21,11,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],874
4020,underweight,male,pescatarian,twice a day,coal,walk/bicycle,,sometimes,118,very frequently,57,extra large,1,20,47,11,Sometimes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2826
4021,overweight,female,vegetarian,daily,natural gas,private,electric,sometimes,224,rarely,8713,small,7,19,11,2,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1145
4022,normal,female,vegetarian,less frequently,wood,walk/bicycle,,often,269,rarely,66,medium,5,5,16,3,Sometimes,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1203
4023,underweight,male,vegetarian,less frequently,wood,private,lpg,sometimes,280,never,1154,extra large,3,24,17,9,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",1525
4024,overweight,female,pescatarian,twice a day,coal,private,electric,never,260,rarely,3800,large,6,2,34,16,Sometimes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2206
4025,overweight,male,pescatarian,twice a day,electricity,public,,often,296,very frequently,53,medium,4,15,31,0,No,"['Plastic', 'Glass', 'Metal']",[],2727
4026,overweight,male,omnivore,twice a day,coal,private,diesel,never,86,never,8262,small,6,24,33,2,Yes,[],"['Stove', 'Microwave']",3999
4027,normal,female,vegetarian,daily,wood,public,,never,141,never,426,small,2,4,21,24,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",819
4028,underweight,female,vegetarian,twice a day,coal,walk/bicycle,,often,156,frequently,88,medium,5,18,26,16,Yes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",2083
4029,overweight,male,pescatarian,less frequently,electricity,public,,never,88,rarely,1234,large,3,19,30,10,Yes,"['Paper', 'Glass']","['Stove', 'Oven']",1339
4030,normal,female,vegan,more frequently,wood,public,,never,51,frequently,1335,large,6,13,33,8,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave']",1990
4031,obese,male,omnivore,more frequently,natural gas,private,petrol,often,74,frequently,5060,large,1,21,27,10,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",4627
4032,normal,male,vegetarian,less frequently,natural gas,private,petrol,often,53,very frequently,3400,large,2,12,31,15,Sometimes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",3928
4033,underweight,female,vegetarian,daily,natural gas,public,,often,147,frequently,648,medium,3,10,33,11,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1761
4034,obese,male,pescatarian,less frequently,natural gas,private,petrol,sometimes,252,rarely,9061,medium,3,21,47,4,Sometimes,"['Glass', 'Metal']",['Microwave'],6076
4035,obese,female,vegan,twice a day,natural gas,walk/bicycle,,sometimes,122,rarely,36,extra large,2,10,6,10,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",996
4036,underweight,male,omnivore,daily,wood,private,hybrid,never,201,frequently,9168,small,6,5,39,23,No,"['Paper', 'Plastic']",['Microwave'],3420
4037,obese,male,vegan,less frequently,coal,public,,often,237,never,1034,small,3,7,9,11,Sometimes,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",1354
4038,normal,male,pescatarian,daily,natural gas,public,,never,271,rarely,213,extra large,3,13,46,17,Yes,['Plastic'],"['Grill', 'Airfryer']",2064
4039,normal,female,omnivore,daily,natural gas,private,diesel,never,281,rarely,4603,extra large,6,11,47,19,No,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",3181
4040,overweight,male,vegetarian,more frequently,coal,public,,never,187,never,1740,medium,1,15,3,8,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven']",1077
4041,obese,female,vegetarian,more frequently,wood,private,petrol,often,262,never,1721,extra large,6,4,15,7,No,[],"['Stove', 'Grill', 'Airfryer']",2682
4042,overweight,male,pescatarian,daily,electricity,public,,sometimes,179,never,526,small,2,1,39,20,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1055
4043,normal,female,omnivore,more frequently,coal,private,petrol,sometimes,160,frequently,922,medium,4,7,30,9,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2137
4044,normal,female,pescatarian,less frequently,wood,private,diesel,often,58,very frequently,9933,medium,6,4,8,5,Yes,"['Paper', 'Glass']","['Oven', 'Microwave']",4206
4045,normal,male,vegetarian,twice a day,wood,public,,often,188,never,1540,extra large,6,17,19,14,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1972
4046,normal,female,vegan,twice a day,wood,public,,sometimes,172,frequently,180,medium,1,5,9,23,Sometimes,"['Glass', 'Metal']",['Microwave'],1266
4047,normal,female,pescatarian,twice a day,wood,public,,often,207,rarely,1507,medium,7,9,6,17,Sometimes,['Glass'],"['Stove', 'Oven', 'Grill', 'Airfryer']",1594
4048,underweight,female,pescatarian,more frequently,coal,walk/bicycle,,often,234,very frequently,81,extra large,1,8,1,24,No,['Glass'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2351
4049,obese,female,pescatarian,less frequently,natural gas,private,petrol,never,188,rarely,959,extra large,5,0,49,1,No,"['Paper', 'Glass', 'Metal']",['Stove'],2474
4050,overweight,female,pescatarian,twice a day,coal,public,,sometimes,249,frequently,746,large,3,23,26,3,No,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2322
4051,obese,male,vegetarian,less frequently,coal,public,,often,259,never,817,small,2,9,34,12,Yes,"['Plastic', 'Glass', 'Metal']",['Stove'],1719
4052,underweight,female,vegetarian,more frequently,coal,private,diesel,often,256,rarely,6119,small,6,16,25,13,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2537
4053,underweight,male,pescatarian,daily,wood,public,,sometimes,297,very frequently,1849,large,3,6,20,22,Yes,"['Paper', 'Glass']",['Stove'],2713
4054,underweight,female,vegan,twice a day,electricity,walk/bicycle,,sometimes,266,never,2,large,6,12,49,3,Yes,['Metal'],"['Stove', 'Oven', 'Microwave']",1357
4055,normal,male,vegetarian,twice a day,electricity,private,petrol,never,94,very frequently,2142,extra large,6,15,17,19,Yes,"['Paper', 'Glass']","['Oven', 'Grill', 'Airfryer']",3506
4056,underweight,female,omnivore,less frequently,coal,private,lpg,sometimes,220,very frequently,4717,large,6,1,47,7,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",3947
4057,overweight,female,omnivore,daily,wood,walk/bicycle,,sometimes,229,frequently,19,small,5,0,22,9,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",1960
4058,underweight,male,vegan,daily,electricity,walk/bicycle,,often,116,very frequently,49,small,6,7,1,2,Sometimes,['Metal'],['Oven'],1917
4059,underweight,female,vegan,daily,electricity,walk/bicycle,,often,58,frequently,97,small,2,13,22,15,Sometimes,"['Paper', 'Plastic', 'Glass']",['Oven'],1098
4060,normal,female,pescatarian,less frequently,electricity,walk/bicycle,,never,229,rarely,6,extra large,4,21,50,13,Yes,"['Paper', 'Plastic']",['Oven'],1594
4061,overweight,male,omnivore,twice a day,natural gas,private,hybrid,often,169,never,9677,medium,3,23,22,15,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3212
4062,overweight,male,omnivore,daily,electricity,public,,sometimes,114,frequently,158,extra large,3,4,18,24,Yes,[],"['Stove', 'Oven', 'Microwave']",2219
4063,obese,male,omnivore,daily,electricity,walk/bicycle,,often,225,frequently,69,extra large,5,1,16,7,Sometimes,['Metal'],"['Stove', 'Oven']",2915
4064,obese,male,vegetarian,less frequently,coal,walk/bicycle,,often,203,frequently,48,extra large,4,10,46,11,Yes,['Glass'],"['Grill', 'Airfryer']",3397
4065,obese,male,pescatarian,less frequently,natural gas,walk/bicycle,,never,138,never,41,large,6,22,43,24,Sometimes,['Plastic'],['Microwave'],2333
4066,overweight,female,omnivore,less frequently,electricity,private,hybrid,never,188,never,9861,large,2,7,2,22,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave']",2332
4067,obese,male,vegan,more frequently,coal,walk/bicycle,,often,126,frequently,6,medium,2,7,45,8,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",2573
4068,normal,female,vegan,less frequently,coal,walk/bicycle,,sometimes,242,frequently,39,extra large,4,12,16,13,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1991
4069,normal,male,vegan,less frequently,wood,public,,sometimes,141,rarely,568,small,7,20,38,7,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1637
4070,underweight,male,pescatarian,daily,natural gas,walk/bicycle,,sometimes,51,very frequently,45,medium,7,7,37,15,Sometimes,['Glass'],[],2660
4071,overweight,male,vegan,daily,natural gas,private,hybrid,sometimes,274,rarely,8701,medium,4,16,50,23,Sometimes,"['Plastic', 'Glass']",['Microwave'],3666
4072,obese,female,omnivore,twice a day,electricity,public,,sometimes,107,rarely,1943,medium,7,5,44,15,No,"['Paper', 'Plastic']","['Stove', 'Oven']",2047
4073,underweight,male,vegan,twice a day,natural gas,walk/bicycle,,sometimes,171,rarely,46,extra large,4,12,15,4,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1466
4074,obese,male,omnivore,daily,wood,private,petrol,often,125,frequently,9658,small,2,16,24,8,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",6786
4075,underweight,male,omnivore,twice a day,wood,public,,never,120,very frequently,154,extra large,3,9,25,24,Yes,['Paper'],['Stove'],2546
4076,normal,female,pescatarian,twice a day,natural gas,public,,often,236,rarely,500,extra large,3,7,42,7,Yes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1725
4077,normal,female,vegetarian,more frequently,wood,walk/bicycle,,never,213,never,41,large,6,6,30,24,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave']",1475
4078,overweight,female,omnivore,more frequently,natural gas,private,lpg,sometimes,105,rarely,9402,small,7,16,30,6,Yes,"['Paper', 'Plastic']","['Oven', 'Microwave']",3944
4079,obese,male,pescatarian,less frequently,wood,walk/bicycle,,sometimes,116,rarely,90,extra large,4,14,5,2,Yes,['Paper'],"['Stove', 'Grill', 'Airfryer']",1596
4080,overweight,male,omnivore,less frequently,coal,walk/bicycle,,never,215,frequently,95,large,7,11,36,11,Yes,[],"['Stove', 'Oven']",3285
4081,normal,female,pescatarian,daily,electricity,walk/bicycle,,often,101,very frequently,15,large,7,1,15,20,No,"['Paper', 'Plastic', 'Metal']",['Stove'],2264
4082,obese,male,pescatarian,twice a day,wood,private,lpg,sometimes,250,frequently,7026,large,6,22,25,13,Yes,"['Paper', 'Metal']",['Oven'],5017
4083,obese,male,vegan,less frequently,wood,public,,often,149,frequently,555,medium,5,11,35,2,Yes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2755
4084,obese,male,pescatarian,daily,natural gas,private,hybrid,often,157,frequently,107,medium,1,13,17,0,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],1712
4085,overweight,female,pescatarian,more frequently,wood,private,lpg,often,273,very frequently,8187,small,4,18,31,14,Sometimes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",5030
4086,overweight,female,omnivore,daily,electricity,walk/bicycle,,sometimes,184,never,53,extra large,3,23,50,13,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1598
4087,normal,male,vegetarian,more frequently,electricity,walk/bicycle,,often,124,never,42,large,4,9,36,4,No,"['Paper', 'Plastic']",['Microwave'],1355
4088,normal,female,omnivore,more frequently,natural gas,private,petrol,sometimes,140,rarely,4747,large,2,21,41,5,Sometimes,"['Paper', 'Plastic', 'Metal']",['Oven'],2865
4089,overweight,female,pescatarian,twice a day,natural gas,walk/bicycle,,often,229,never,1,small,4,24,44,10,No,['Glass'],['Stove'],1685
4090,underweight,male,omnivore,twice a day,natural gas,walk/bicycle,,often,197,frequently,5,medium,3,14,4,16,No,['Metal'],[],1838
4091,normal,male,omnivore,daily,electricity,walk/bicycle,,never,145,never,96,extra large,1,9,3,19,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",642
4092,overweight,female,vegetarian,more frequently,wood,public,,never,197,never,571,extra large,3,5,7,15,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",1230
4093,overweight,male,vegan,twice a day,wood,private,lpg,never,239,very frequently,9771,medium,6,7,7,24,No,['Paper'],['Oven'],5639
4094,overweight,female,pescatarian,daily,wood,walk/bicycle,,often,112,never,54,large,7,4,14,21,Yes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1814
4095,obese,male,omnivore,daily,natural gas,walk/bicycle,,often,192,never,75,medium,5,13,1,6,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1303
4096,underweight,male,pescatarian,less frequently,electricity,private,diesel,often,83,frequently,7155,medium,1,20,43,15,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],3021
4097,normal,female,omnivore,daily,electricity,private,electric,sometimes,108,rarely,9181,large,7,22,13,7,Yes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1539
4098,obese,male,omnivore,twice a day,natural gas,private,diesel,sometimes,238,never,2959,large,1,18,30,19,Yes,['Glass'],['Stove'],2769
4099,underweight,male,omnivore,twice a day,electricity,walk/bicycle,,sometimes,161,rarely,41,extra large,4,19,13,24,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1476
4100,overweight,male,pescatarian,twice a day,wood,public,,never,276,never,1164,small,7,13,40,9,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1712
4101,obese,male,omnivore,more frequently,natural gas,public,,often,87,rarely,1970,small,7,4,10,2,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1536
4102,normal,male,vegan,twice a day,coal,private,petrol,often,119,very frequently,9425,medium,7,22,36,15,No,['Paper'],['Oven'],6719
4103,normal,female,pescatarian,twice a day,natural gas,walk/bicycle,,never,297,frequently,13,large,2,21,48,16,No,['Glass'],"['Stove', 'Grill', 'Airfryer']",2138
4104,overweight,male,pescatarian,twice a day,wood,private,hybrid,sometimes,108,frequently,500,extra large,3,20,11,3,No,"['Paper', 'Glass', 'Metal']",['Microwave'],1808
4105,obese,female,vegan,daily,electricity,private,electric,often,264,very frequently,3302,extra large,6,10,40,10,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave']",3274
4106,underweight,female,vegan,twice a day,electricity,public,,never,220,rarely,1339,large,5,16,48,15,Yes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1526
4107,underweight,male,omnivore,less frequently,wood,public,,never,258,very frequently,286,small,3,14,22,23,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",2319
4108,obese,male,omnivore,daily,coal,walk/bicycle,,never,55,rarely,22,extra large,2,8,23,19,No,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2038
4109,overweight,male,omnivore,more frequently,natural gas,walk/bicycle,,sometimes,264,never,6,small,1,10,30,13,Yes,['Glass'],"['Stove', 'Grill', 'Airfryer']",1612
4110,underweight,female,vegan,daily,natural gas,private,hybrid,never,145,very frequently,645,extra large,4,17,17,0,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2124
4111,normal,male,omnivore,twice a day,electricity,walk/bicycle,,never,271,never,59,large,7,1,3,4,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1352
4112,overweight,female,omnivore,less frequently,electricity,private,petrol,sometimes,123,rarely,9187,large,6,21,40,14,Yes,[],"['Microwave', 'Grill', 'Airfryer']",4973
4113,normal,female,vegan,daily,coal,private,lpg,never,199,never,4022,extra large,6,6,8,23,Sometimes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2552
4114,overweight,female,pescatarian,daily,natural gas,walk/bicycle,,sometimes,53,rarely,31,small,7,18,38,6,No,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1728
4115,overweight,female,omnivore,daily,electricity,public,,sometimes,73,very frequently,1098,extra large,6,17,2,11,Sometimes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2780
4116,overweight,female,vegan,less frequently,natural gas,walk/bicycle,,never,166,never,31,small,5,21,14,8,Yes,['Glass'],"['Stove', 'Oven']",947
4117,overweight,male,omnivore,twice a day,natural gas,public,,often,276,very frequently,1910,small,7,0,8,9,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",2927
4118,underweight,male,vegan,more frequently,wood,walk/bicycle,,never,64,very frequently,94,small,7,6,48,0,Yes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2628
4119,normal,female,omnivore,more frequently,coal,walk/bicycle,,sometimes,246,very frequently,46,large,6,14,38,18,No,['Metal'],"['Oven', 'Grill', 'Airfryer']",3017
4120,normal,male,pescatarian,daily,natural gas,private,lpg,never,117,rarely,5934,extra large,3,16,12,6,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2898
4121,normal,female,omnivore,more frequently,wood,walk/bicycle,,sometimes,137,very frequently,3,medium,6,7,23,14,No,['Metal'],"['Stove', 'Oven']",2462
4122,obese,male,vegetarian,less frequently,natural gas,public,,never,190,rarely,1930,large,5,4,12,7,Sometimes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1875
4123,obese,male,vegetarian,twice a day,wood,public,,never,184,rarely,1159,small,4,18,23,3,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],1151
4124,overweight,female,pescatarian,less frequently,wood,walk/bicycle,,often,163,rarely,25,extra large,6,9,38,17,Yes,[],"['Stove', 'Microwave']",2305
4125,normal,male,pescatarian,twice a day,wood,public,,often,166,rarely,459,small,5,11,2,18,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",1250
4126,normal,female,vegan,twice a day,coal,public,,never,229,very frequently,466,extra large,3,10,47,16,Sometimes,['Glass'],['Microwave'],2790
4127,underweight,male,vegan,less frequently,natural gas,walk/bicycle,,often,278,very frequently,28,medium,4,20,47,21,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",2792
4128,normal,female,vegetarian,more frequently,coal,private,petrol,often,243,rarely,1060,medium,3,9,32,7,Sometimes,"['Plastic', 'Glass', 'Metal']",['Stove'],1852
4129,underweight,male,pescatarian,twice a day,natural gas,private,diesel,never,202,rarely,9999,extra large,1,1,13,16,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3396
4130,underweight,female,vegan,less frequently,coal,private,hybrid,never,50,never,8636,extra large,1,8,7,23,Yes,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",1910
